,GEOID,NAME,NAMELSAD
0,31039,Cuming,Cuming County
1,53069,Wahkiakum,Wahkiakum County
2,35011,De Baca,De Baca County
3,31109,Lancaster,Lancaster County
4,31129,Nuckolls,Nuckolls County
5,46099,Minnehaha,Minnehaha County
6,48327,Menard,Menard County
7,06091,Sierra,Sierra County
8,21053,Clinton,Clinton County
9,39063,Hancock,Hancock County
10,48189,Hale,Hale County
11,01027,Clay,Clay County
12,48011,Armstrong,Armstrong County
13,39003,Allen,Allen County
14,13189,McDuffie,McDuffie County
15,55111,Sauk,Sauk County
16,05137,Stone,Stone County
17,41063,Wallowa,Wallowa County
18,42007,Beaver,Beaver County
19,28061,Jasper,Jasper County
20,29083,Henry,Henry County
21,08109,Saguache,Saguache County
22,37037,Chatham,Chatham County
23,49033,Rich,Rich County
24,40001,Adair,Adair County
25,39085,Lake,Lake County
26,51775,Salem,Salem city
27,51121,Montgomery,Montgomery County
28,47065,Hamilton,Hamilton County
29,35035,Otero,Otero County
30,35003,Catron,Catron County
31,01091,Marengo,Marengo County
32,56023,Lincoln,Lincoln County
33,29011,Barton,Barton County
34,48057,Calhoun,Calhoun County
35,51735,Poquoson,Poquoson city
36,54075,Pocahontas,Pocahontas County
37,48077,Clay,Clay County
38,51095,James City,James City County
39,31101,Keith,Keith County
40,31137,Phelps,Phelps County
41,22019,Calcasieu,Calcasieu Parish
42,22111,Union,Union Parish
43,40135,Sequoyah,Sequoyah County
44,01049,DeKalb,DeKalb County
45,36101,Steuben,Steuben County
46,42053,Forest,Forest County
47,22105,Tangipahoa,Tangipahoa Parish
48,51179,Stafford,Stafford County
49,26109,Menominee,Menominee County
50,18073,Jasper,Jasper County
51,13025,Brantley,Brantley County
52,13171,Lamar,Lamar County
53,18151,Steuben,Steuben County
54,48361,Orange,Orange County
55,39047,Fayette,Fayette County
56,25015,Hampshire,Hampshire County
57,21003,Allen,Allen County
58,37001,Alamance,Alamance County
59,20073,Greenwood,Greenwood County
60,25025,Suffolk,Suffolk County
61,16051,Jefferson,Jefferson County
62,48177,Gonzales,Gonzales County
63,47115,Marion,Marion County
64,26007,Alpena,Alpena County
65,21231,Wayne,Wayne County
66,47185,White,White County
67,48147,Fannin,Fannin County
68,20043,Doniphan,Doniphan County
69,48265,Kerr,Kerr County
70,12053,Hernando,Hernando County
71,12129,Wakulla,Wakulla County
72,12131,Walton,Walton County
73,28017,Chickasaw,Chickasaw County
74,26035,Clare,Clare County
75,20157,Republic,Republic County
76,12127,Volusia,Volusia County
77,40017,Canadian,Canadian County
78,13115,Floyd,Floyd County
79,32001,Churchill,Churchill County
80,31181,Webster,Webster County
81,17067,Hancock,Hancock County
82,46067,Hutchinson,Hutchinson County
83,41013,Crook,Crook County
84,50011,Franklin,Franklin County
85,26103,Marquette,Marquette County
86,09007,Middlesex,Middlesex County
87,37057,Davidson,Davidson County
88,17025,Clay,Clay County
89,29103,Knox,Knox County
90,29117,Livingston,Livingston County
91,42117,Tioga,Tioga County
92,31043,Dakota,Dakota County
93,26089,Leelanau,Leelanau County
94,51181,Surry,Surry County
95,48391,Refugio,Refugio County
96,39017,Butler,Butler County
97,13273,Terrell,Terrell County
98,13063,Clayton,Clayton County
99,56013,Fremont,Fremont County
100,18115,Ohio,Ohio County
101,13073,Columbia,Columbia County
102,08115,Sedgwick,Sedgwick County
103,30065,Musselshell,Musselshell County
104,42043,Dauphin,Dauphin County
105,46101,Moody,Moody County
106,54079,Putnam,Putnam County
107,34037,Sussex,Sussex County
108,20039,Decatur,Decatur County
109,18123,Perry,Perry County
110,28145,Union,Union County
111,31015,Boyd,Boyd County
112,27095,Mille Lacs,Mille Lacs County
113,38099,Walsh,Walsh County
114,39115,Morgan,Morgan County
115,39133,Portage,Portage County
116,56041,Uinta,Uinta County
117,32013,Humboldt,Humboldt County
118,48247,Jim Hogg,Jim Hogg County
119,08017,Cheyenne,Cheyenne County
120,41005,Clackamas,Clackamas County
121,05113,Polk,Polk County
122,13193,Macon,Macon County
123,18007,Benton,Benton County
124,47129,Morgan,Morgan County
125,46043,Douglas,Douglas County
126,24047,Worcester,Worcester County
127,17185,Wabash,Wabash County
128,18069,Huntington,Huntington County
129,21209,Scott,Scott County
130,19053,Decatur,Decatur County
131,18169,Wabash,Wabash County
132,18003,Allen,Allen County
133,18099,Marshall,Marshall County
134,31171,Thomas,Thomas County
135,38085,Sioux,Sioux County
136,48127,Dimmit,Dimmit County
137,27045,Fillmore,Fillmore County
138,45023,Chester,Chester County
139,27073,Lac qui Parle,Lac qui Parle County
140,49005,Cache,Cache County
141,55093,Pierce,Pierce County
142,13049,Charlton,Charlton County
143,13233,Polk,Polk County
144,17113,McLean,McLean County
145,23001,Androscoggin,Androscoggin County
146,16055,Kootenai,Kootenai County
147,32003,Clark,Clark County
148,20147,Phillips,Phillips County
149,31089,Holt,Holt County
150,29101,Johnson,Johnson County
151,55063,La Crosse,La Crosse County
152,22021,Caldwell,Caldwell Parish
153,21061,Edmonson,Edmonson County
154,17005,Bond,Bond County
155,17009,Brown,Brown County
156,27085,McLeod,McLeod County
157,55033,Dunn,Dunn County
158,08027,Custer,Custer County
159,29123,Madison,Madison County
160,48353,Nolan,Nolan County
161,42127,Wayne,Wayne County
162,36091,Saratoga,Saratoga County
163,48041,Brazos,Brazos County
164,40095,Marshall,Marshall County
165,24001,Allegany,Allegany County
166,54103,Wetzel,Wetzel County
167,55053,Jackson,Jackson County
168,41007,Clatsop,Clatsop County
169,53041,Lewis,Lewis County
170,36003,Allegany,Allegany County
171,19031,Cedar,Cedar County
172,18117,Orange,Orange County
173,13089,DeKalb,DeKalb County
174,13227,Pickens,Pickens County
175,30015,Chouteau,Chouteau County
176,31017,Brown,Brown County
177,47013,Campbell,Campbell County
178,37069,Franklin,Franklin County
179,24510,Baltimore,Baltimore city
180,20111,Lyon,Lyon County
181,19027,Carroll,Carroll County
182,22107,Tensas,Tensas Parish
183,47123,Monroe,Monroe County
184,20075,Hamilton,Hamilton County
185,19151,Pocahontas,Pocahontas County
186,16045,Gem,Gem County
187,05063,Independence,Independence County
188,05085,Lonoke,Lonoke County
189,18111,Newton,Newton County
190,13119,Franklin,Franklin County
191,12051,Hendry,Hendry County
192,13265,Taliaferro,Taliaferro County
193,48245,Jefferson,Jefferson County
194,30059,Meagher,Meagher County
195,08067,La Plata,La Plata County
196,48027,Bell,Bell County
197,28069,Kemper,Kemper County
198,05019,Clark,Clark County
199,41035,Klamath,Klamath County
200,36075,Oswego,Oswego County
201,01019,Cherokee,Cherokee County
202,48019,Bandera,Bandera County
203,30087,Rosebud,Rosebud County
204,35059,Union,Union County
205,26153,Schoolcraft,Schoolcraft County
206,36111,Ulster,Ulster County
207,34007,Camden,Camden County
208,17083,Jersey,Jersey County
209,51085,Hanover,Hanover County
210,20199,Wallace,Wallace County
211,26003,Alger,Alger County
212,05049,Fulton,Fulton County
213,48215,Hidalgo,Hidalgo County
214,37155,Robeson,Robeson County
215,26123,Newaygo,Newaygo County
216,41049,Morrow,Morrow County
217,27153,Todd,Todd County
218,05083,Logan,Logan County
219,37109,Lincoln,Lincoln County
220,05091,Miller,Miller County
221,12095,Orange,Orange County
222,08111,San Juan,San Juan County
223,16041,Franklin,Franklin County
224,13045,Carroll,Carroll County
225,20161,Riley,Riley County
226,48413,Schleicher,Schleicher County
227,51167,Russell,Russell County
228,37027,Caldwell,Caldwell County
229,16065,Madison,Madison County
230,18173,Warrick,Warrick County
231,21001,Adair,Adair County
232,21077,Gallatin,Gallatin County
233,21097,Harrison,Harrison County
234,23023,Sagadahoc,Sagadahoc County
