,FGEOID,GEOID,NAME,NAMELSAD,GEOID_FILE,Memory Usage (GB)
0,0500000US31039,31039,Cuming,Cuming County,0500000US31039.graphml,0.0712864
1,0500000US53069,53069,Wahkiakum,Wahkiakum County,0500000US53069.graphml,0.014515840000000002
2,0500000US35011,35011,De Baca,De Baca County,0500000US35011.graphml,0.073473664
3,0500000US31109,31109,Lancaster,Lancaster County,0500000US31109.graphml,0.35163712
4,0500000US31129,31129,Nuckolls,Nuckolls County,0500000US31129.graphml,0.05974796800000001
5,0500000US46099,46099,Minnehaha,Minnehaha County,0500000US46099.graphml,0.250797696
6,0500000US48327,48327,Menard,Menard County,0500000US48327.graphml,0.05961689600000003
7,0500000US06091,6091,Sierra,Sierra County,0500000US06091.graphml,0.082706048
8,0500000US21053,21053,Clinton,Clinton County,0500000US21053.graphml,0.055893632
9,0500000US39063,39063,Hancock,Hancock County,0500000US39063.graphml,0.16886950399999998
10,0500000US48189,48189,Hale,Hale County,0500000US48189.graphml,0.152555136
11,0500000US01027,1027,Clay,Clay County,0500000US01027.graphml,0.14820518400000002
12,0500000US48011,48011,Armstrong,Armstrong County,0500000US48011.graphml,0.051170943999999996
13,0500000US39003,39003,Allen,Allen County,0500000US39003.graphml,0.18956659200000006
14,0500000US13189,13189,McDuffie,McDuffie County,0500000US13189.graphml,0.07534553600000002
15,0500000US55111,55111,Sauk,Sauk County,0500000US55111.graphml,0.19707455999999998
16,0500000US05137,5137,Stone,Stone County,0500000US05137.graphml,0.07734438399999999
17,0500000US41063,41063,Wallowa,Wallowa County,0500000US41063.graphml,0.04282329600000001
18,0500000US42007,42007,Beaver,Beaver County,0500000US42007.graphml,0.444272256
19,0500000US28061,28061,Jasper,Jasper County,0500000US28061.graphml,0.09117657600000001
20,0500000US29083,29083,Henry,Henry County,0500000US29083.graphml,0.09478105600000003
21,0500000US08109,8109,Saguache,Saguache County,0500000US08109.graphml,0.06927116800000002
22,0500000US37037,37037,Chatham,Chatham County,0500000US37037.graphml,0.487947904
23,0500000US49033,49033,Rich,Rich County,0500000US49033.graphml,0.03459852800000002
24,0500000US40001,40001,Adair,Adair County,0500000US40001.graphml,0.122830464
25,0500000US39085,39085,Lake,Lake County,0500000US39085.graphml,0.27608640000000007
26,0500000US51775,51775,Salem,Salem city,0500000US51775.graphml,0.179211904
27,0500000US51121,51121,Montgomery,Montgomery County,0500000US51121.graphml,0.156171904
28,0500000US47065,47065,Hamilton,Hamilton County,0500000US47065.graphml,0.486981248
29,0500000US35035,35035,Otero,Otero County,0500000US35035.graphml,0.25785920000000007
30,0500000US35003,35003,Catron,Catron County,0500000US35003.graphml,0.08401676800000002
31,0500000US01091,1091,Marengo,Marengo County,0500000US01091.graphml,0.11115276800000004
32,0500000US56023,56023,Lincoln,Lincoln County,0500000US56023.graphml,0.055590528
33,0500000US29011,29011,Barton,Barton County,0500000US29011.graphml,0.09955699200000001
34,0500000US48057,48057,Calhoun,Calhoun County,0500000US48057.graphml,0.05418969600000001
35,0500000US51735,51735,Poquoson,Poquoson city,0500000US51735.graphml,0.178347648
36,0500000US54075,54075,Pocahontas,Pocahontas County,0500000US54075.graphml,0.043122304
37,0500000US48077,48077,Clay,Clay County,0500000US48077.graphml,0.152600192
38,0500000US51095,51095,James City,James City County,0500000US51095.graphml,0.22861376000000003
39,0500000US31101,31101,Keith,Keith County,0500000US31101.graphml,0.03934579199999999
40,0500000US31137,31137,Phelps,Phelps County,0500000US31137.graphml,0.07874112
41,0500000US22019,22019,Calcasieu,Calcasieu Parish,0500000US22019.graphml,0.295403136
42,0500000US22111,22111,Union,Union Parish,0500000US22111.graphml,0.13506521600000002
43,0500000US40135,40135,Sequoyah,Sequoyah County,0500000US40135.graphml,0.25524185600000004
44,0500000US01049,1049,DeKalb,DeKalb County,0500000US01049.graphml,0.26203302399999995
45,0500000US36101,36101,Steuben,Steuben County,0500000US36101.graphml,0.23529843200000003
