FGEOID,GEOID,NAME,NAMELSAD,GEOID_FILE,Memory Usage (GB)
0500000US17001,17001,Adams,Adams,"0500000US17001.graphml",0.185344
0500000US17003,17003,Alexander,Alexander,"0500000US17003.graphml",0.127336448
0500000US17005,17005,Bond,Bond,"0500000US17005.graphml",0.09533440000000001
0500000US17007,17007,Boone,Boone,"0500000US17007.graphml",0.272420864
0500000US17009,17009,Brown,Brown,"0500000US17009.graphml",0.08650751999999998
0500000US17011,17011,Bureau,Bureau,"0500000US17011.graphml",0.16937779199999997
0500000US17013,17013,Calhoun,Calhoun,"0500000US17013.graphml",0.1025024
0500000US17015,17015,Carroll,Carroll,"0500000US17015.graphml",0.09510502399999998
0500000US17017,17017,Cass,Cass,"0500000US17017.graphml",0.08109260799999998
0500000US17019,17019,Champaign,Champaign,"0500000US17019.graphml",0.2713026559999999
0500000US17021,17021,Christian,Christian,"0500000US17021.graphml",0.13907967999999998
0500000US17023,17023,Clark,Clark,"0500000US17023.graphml",0.119529472
0500000US17025,17025,Clay,Clay,"0500000US17025.graphml",0.099454976
0500000US17027,17027,Clinton,Clinton,"0500000US17027.graphml",0.190164992
0500000US17029,17029,Coles,Coles,"0500000US17029.graphml",0.141529088
0500000US17031,17031,Cook,Cook,"0500000US17031.graphml",2.920288256
0500000US17033,17033,Crawford,Crawford,"0500000US17033.graphml",0.09151283200000002
0500000US17035,17035,Cumberland,Cumberland,"0500000US17035.graphml",0.09104179200000001
0500000US17037,17037,DeKalb,DeKalb,"0500000US17037.graphml",0.17426841599999998
0500000US17039,17039,De Witt,De Witt,"0500000US17039.graphml",0.007569408
0500000US17041,17041,Douglas,Douglas,"0500000US17041.graphml",0.08420556800000001
0500000US17043,17043,DuPage,DuPage,"0500000US17043.graphml",1.4712832
0500000US17045,17045,Edgar,Edgar,"0500000US17045.graphml",0.19555942400000004
0500000US17047,17047,Edwards,Edwards,"0500000US17047.graphml",0.08720383999999998
0500000US17049,17049,Effingham,Effingham,"0500000US17049.graphml",0.10995712000000002
0500000US17051,17051,Fayette,Fayette,"0500000US17051.graphml",0.140787712
0500000US17053,17053,Ford,Ford,"0500000US17053.graphml",0.09294233600000001
