,FGEOID,GEOID,COUNTY,STATE,GEOID_FILE,NAME_FILE,Memory Usage (GB)
0,0500000US17001,17001,Adams,Illinois,0500000US17001.graphml,"Adams County, Illinois.graphml",0.18668710399999996
1,0500000US17003,17003,Alexander,Illinois,0500000US17003.graphml,"Alexander County, Illinois.graphml",0.127696512
2,0500000US17005,17005,Bond,Illinois,0500000US17005.graphml,"Bond County, Illinois.graphml",0.09527257600000003
3,0500000US17007,17007,Boone,Illinois,0500000US17007.graphml,"Boone County, Illinois.graphml",0.275955328
4,0500000US17009,17009,Brown,Illinois,0500000US17009.graphml,"Brown County, Illinois.graphml",0.08814144000000002
5,0500000US17011,17011,Bureau,Illinois,0500000US17011.graphml,"Bureau County, Illinois.graphml",0.17048742399999997
6,0500000US17013,17013,Calhoun,Illinois,0500000US17013.graphml,"Calhoun County, Illinois.graphml",0.102022784
7,0500000US17015,17015,Carroll,Illinois,0500000US17015.graphml,"Carroll County, Illinois.graphml",0.096853632
8,0500000US17017,17017,Cass,Illinois,0500000US17017.graphml,"Cass County, Illinois.graphml",0.081563264
9,0500000US17019,17019,Champaign,Illinois,0500000US17019.graphml,"Champaign County, Illinois.graphml",0.27531635200000004
10,0500000US17021,17021,Christian,Illinois,0500000US17021.graphml,"Christian County, Illinois.graphml",0.13932096000000002
11,0500000US17023,17023,Clark,Illinois,0500000US17023.graphml,"Clark County, Illinois.graphml",0.12157299200000002
12,0500000US17025,17025,Clay,Illinois,0500000US17025.graphml,"Clay County, Illinois.graphml",0.09918016000000002
13,0500000US17027,17027,Clinton,Illinois,0500000US17027.graphml,"Clinton County, Illinois.graphml",0.192396928
14,0500000US17029,17029,Coles,Illinois,0500000US17029.graphml,"Coles County, Illinois.graphml",0.143638144
15,0500000US17031,17031,Cook,Illinois,0500000US17031.graphml,"Cook County, Illinois.graphml",2.9401452800000003
16,0500000US17033,17033,Crawford,Illinois,0500000US17033.graphml,"Crawford County, Illinois.graphml",0.09247091199999999
17,0500000US17035,17035,Cumberland,Illinois,0500000US17035.graphml,"Cumberland County, Illinois.graphml",0.09191385600000002
18,0500000US17037,17037,DeKalb,Illinois,0500000US17037.graphml,"DeKalb County, Illinois.graphml",0.17693862400000002
19,0500000US17039,17039,De Witt,Illinois,0500000US17039.graphml,"De Witt County, Illinois.graphml",0.091680384
20,0500000US17041,17041,Douglas,Illinois,0500000US17041.graphml,"Douglas County, Illinois.graphml",0.08502438399999998
21,0500000US17043,17043,DuPage,Illinois,0500000US17043.graphml,"DuPage County, Illinois.graphml",1.4854918400000001
22,0500000US17045,17045,Edgar,Illinois,0500000US17045.graphml,"Edgar County, Illinois.graphml",0.197213824
23,0500000US17047,17047,Edwards,Illinois,0500000US17047.graphml,"Edwards County, Illinois.graphml",0.08905484800000002
24,0500000US17049,17049,Effingham,Illinois,0500000US17049.graphml,"Effingham County, Illinois.graphml",0.11036224000000003
25,0500000US17051,17051,Fayette,Illinois,0500000US17051.graphml,"Fayette County, Illinois.graphml",0.14222912000000001
26,0500000US17053,17053,Ford,Illinois,0500000US17053.graphml,"Ford County, Illinois.graphml",0.09227840000000001
27,0500000US17055,17055,Franklin,Illinois,0500000US17055.graphml,"Franklin County, Illinois.graphml",0.18148928
28,0500000US17057,17057,Fulton,Illinois,0500000US17057.graphml,"Fulton County, Illinois.graphml",0.141848192
29,0500000US17059,17059,Gallatin,Illinois,0500000US17059.graphml,"Gallatin County, Illinois.graphml",0.08271833600000003
30,0500000US17061,17061,Greene,Illinois,0500000US17061.graphml,"Greene County, Illinois.graphml",0.09595660800000003
31,0500000US17063,17063,Grundy,Illinois,0500000US17063.graphml,"Grundy County, Illinois.graphml",0.20240755200000002
32,0500000US17065,17065,Hamilton,Illinois,0500000US17065.graphml,"Hamilton County, Illinois.graphml",0.10412812800000001
33,0500000US17067,17067,Hancock,Illinois,0500000US17067.graphml,"Hancock County, Illinois.graphml",0.14400268800000002
34,0500000US17069,17069,Hardin,Illinois,0500000US17069.graphml,"Hardin County, Illinois.graphml",0.020213376000000033
35,0500000US17071,17071,Henderson,Illinois,0500000US17071.graphml,"Henderson County, Illinois.graphml",0.10685196799999999
36,0500000US17073,17073,Henry,Illinois,0500000US17073.graphml,"Henry County, Illinois.graphml",0.210042496
37,0500000US17075,17075,Iroquois,Illinois,0500000US17075.graphml,"Iroquois County, Illinois.graphml",0.1463456
38,0500000US17077,17077,Jackson,Illinois,0500000US17077.graphml,"Jackson County, Illinois.graphml",0.21033740799999998
39,0500000US17079,17079,Jasper,Illinois,0500000US17079.graphml,"Jasper County, Illinois.graphml",0.09532992000000001
40,0500000US17081,17081,Jefferson,Illinois,0500000US17081.graphml,"Jefferson County, Illinois.graphml",0.14914726399999997
41,0500000US17083,17083,Jersey,Illinois,0500000US17083.graphml,"Jersey County, Illinois.graphml",0.12722547199999998
42,0500000US17085,17085,Jo Daviess,Illinois,0500000US17085.graphml,"Jo Daviess County, Illinois.graphml",0.176479872
43,0500000US17087,17087,Johnson,Illinois,0500000US17087.graphml,"Johnson County, Illinois.graphml",0.075554432
44,0500000US17089,17089,Kane,Illinois,0500000US17089.graphml,"Kane County, Illinois.graphml",0.8820486399999999
45,0500000US17091,17091,Kankakee,Illinois,0500000US17091.graphml,"Kankakee County, Illinois.graphml",0.19043084799999996
46,0500000US17093,17093,Kendall,Illinois,0500000US17093.graphml,"Kendall County, Illinois.graphml",0.4576375039999999
47,0500000US17095,17095,Knox,Illinois,0500000US17095.graphml,"Knox County, Illinois.graphml",0.12249459199999999
48,0500000US17097,17097,Lake,Illinois,0500000US17097.graphml,"Lake County, Illinois.graphml",1.034182272
