FGEOID,GEOID,NAME,NAMELSAD,GEOID_FILE,Memory Usage (GB)
0500000US31039,31039,Cuming,Cuming County,"0500000US31039.graphml",0.030625792000000013
0500000US53069,53069,Wahkiakum,Wahkiakum County,"0500000US53069.graphml",0.008175616000000024
0500000US35011,35011,De Baca,De Baca County,"0500000US35011.graphml",0.05191680000000001
0500000US31109,31109,Lancaster,Lancaster County,"0500000US31109.graphml",0.29264281600000003
0500000US31129,31129,Nuckolls,Nuckolls County,"0500000US31129.graphml",0.02638233599999998
0500000US72085,72085,Las Piedras,Las Piedras Municipio,"0500000US72085.graphml",0.029888512000000006
0500000US46099,46099,Minnehaha,Minnehaha County,"0500000US46099.graphml",0.17943347199999998
0500000US48327,48327,Menard,Menard County,"0500000US48327.graphml",0.036618239999999996
0500000US06091,06091,Sierra,Sierra County,"0500000US06091.graphml",0.017719295999999995
0500000US21053,21053,Clinton,Clinton County,"0500000US21053.graphml",0.023240704
0500000US39063,39063,Hancock,Hancock County,"0500000US39063.graphml",0.08747008
0500000US48189,48189,Hale,Hale County,"0500000US48189.graphml",0.09071001599999998
0500000US01027,01027,Clay,Clay County,"0500000US01027.graphml",0.04231987200000001
0500000US48011,48011,Armstrong,Armstrong County,"0500000US48011.graphml",0.021065728000000006
0500000US39003,39003,Allen,Allen County,"0500000US39003.graphml",0.11389337599999999
0500000US13189,13189,McDuffie,McDuffie County,"0500000US13189.graphml",0.03300966400000002
0500000US55111,55111,Sauk,Sauk County,"0500000US55111.graphml",0.10901504000000004
0500000US05137,05137,Stone,Stone County,"0500000US05137.graphml",0.032948224
0500000US41063,41063,Wallowa,Wallowa County,"0500000US41063.graphml",0.032460799999999984
0500000US42007,42007,Beaver,Beaver County,"0500000US42007.graphml",0.17677107200000003
0500000US28061,28061,Jasper,Jasper County,"0500000US28061.graphml",0.031866879999999986
0500000US29083,29083,Henry,Henry County,"0500000US29083.graphml",0.051658752
0500000US08109,08109,Saguache,Saguache County,"0500000US08109.graphml",0.036315136
0500000US37037,37037,Chatham,Chatham County,"0500000US37037.graphml",0.102199296
0500000US49033,49033,Rich,Rich County,"0500000US49033.graphml",0.012509184000000007
0500000US40001,40001,Adair,Adair County,"0500000US40001.graphml",0.04790681599999999
0500000US39085,39085,Lake,Lake County,"0500000US39085.graphml",0.14314291199999998
0500000US51775,51775,Salem,Salem city,"0500000US51775.graphml",0.029061119999999996
0500000US51121,51121,Montgomery,Montgomery County,"0500000US51121.graphml",0.08462335999999998
0500000US47065,47065,Hamilton,Hamilton County,"0500000US47065.graphml",0.31893503999999995
0500000US35035,35035,Otero,Otero County,"0500000US35035.graphml",0.167305216
0500000US35003,35003,Catron,Catron County,"0500000US35003.graphml",0.069783552
0500000US01091,01091,Marengo,Marengo County,"0500000US01091.graphml",0.05729484800000001
0500000US56023,56023,Lincoln,Lincoln County,"0500000US56023.graphml",0.05225676799999998
0500000US29011,29011,Barton,Barton County,"0500000US29011.graphml",0.033746944
0500000US48057,48057,Calhoun,Calhoun County,"0500000US48057.graphml",0.03814604799999999
0500000US51735,51735,Poquoson,Poquoson city,"0500000US51735.graphml",0.00768000000000002
0500000US54075,54075,Pocahontas,Pocahontas County,"0500000US54075.graphml",0.028045312000000017
0500000US48077,48077,Clay,Clay County,"0500000US48077.graphml",0.04845158399999999
0500000US51095,51095,James City,James City County,"0500000US51095.graphml",0.09496166399999997
0500000US31101,31101,Keith,Keith County,"0500000US31101.graphml",0.028545024000000002
0500000US31137,31137,Phelps,Phelps County,"0500000US31137.graphml",0.029298688000000017
