REGION_INDEX,TIME,STARTEND
-1,566.2029428482056,1676564950.849828
2,414.2329204082489,1676565831.9893434
9,441.5411024093628,1676565859.639528
18,437.563200712204,1676565870.9821038
21,440.98321986198425,1676565874.4038014
27,449.88629603385925,1676565899.2640991
12,467.0312132835388,1676565900.3827121
61,419.600790977478,1676565900.611986
29,456.4734637737274,1676565905.7382205
3,495.79140305519104,1676565913.547921
1,495.84366250038147,1676565913.6911633
16,485.3029582500458,1676565918.4415402
34,472.8684151172638,1676565922.316964
63,447.0226619243622,1676565928.0335662
39,448.4618194103241,1676565928.8711944
17,501.4869065284729,1676565934.905694
30,489.6915888786316,1676565939.0490665
25,494.9616765975952,1676565943.9977822
7,535.7335209846497,1676565953.6449761
60,478.84636187553406,1676565959.8570461
43,482.6984989643097,1676565963.4967842
31,519.696852684021,1676565968.969921
13,535.8987221717834,1676565969.1882734
23,544.9389328956604,1676565978.3411546
19,548.2161409854889,1676565981.6351893
52,501.0113925933838,1676565982.0719807
36,533.0153839588165,1676565982.4636884
24,558.1904442310333,1676565991.5850363
59,510.70369839668274,1676565991.7144008
95,450.5651295185089,1676565993.6238284
58,515.3613660335541,1676565996.3725142
35,547.6492850780487,1676565997.0979261
47,517.8801176548004,1676565998.901877
4,581.099250793457,1676565999.104531
54,519.5343272686005,1676566000.0717168
28,551.6175405979156,1676566000.8831336
8,582.9306118488312,1676566001.0289571
32,558.4684686660767,1676566007.916866
64,515.0664975643158,1676566008.3115292
20,576.6921563148499,1676566010.1113493
86,501.583167552948,1676566014.0178425
22,580.7240192890167,1676566014.1186564
78,501.72267484664917,1676566014.5415246
66,543.4064576625824,1676566036.8719063
11,608.1160678863525,1676566041.467463
55,561.0997891426086,1676566041.7218928
85,533.7069993019104,1676566046.1029868
10,634.5430762767792,1676566052.6416075
56,573.9436914920807,1676566054.545549
62,574.6597583293915,1676566055.6705477
0,640.6438701152802,1676566058.4913085
92,517.7465696334839,1676566060.6825042
70,577.8062541484833,1676566071.546124
67,586.4283268451691,1676566080.1260877
49,600.0505719184875,1676566081.0892425
83,570.9874796867371,1676566083.7773404
45,606.2426335811615,1676566087.068295
53,608.9183242321014,1676566089.4415228
51,609.4039354324341,1676566090.4425426
91,550.0454769134521,1676566092.9816034
26,647.4432644844055,1676566096.4114861
77,592.0876178741455,1676566104.7588992
14,676.6562843322754,1676566109.7964828
46,641.4200205802917,1676566122.441187
65,645.8834450244904,1676566139.073928
33,700.0486767292023,1676566149.4971664
40,670.021600484848,1676566150.8840387
82,639.0794906616211,1676566151.883599
80,640.075902223587,1676566152.7469676
6,736.6779747009277,1676566154.5249476
37,675.3779308795929,1676566155.6302183
5,743.2279281616211,1676566161.2275283
74,661.7140209674835,1676566173.9501126
75,671.2629511356354,1676566183.934221
68,703.5150127410889,1676566197.2713082
42,717.9109365940094,1676566198.7356164
48,722.0416016578674,1676566203.0637143
73,692.7701330184937,1676566205.0765684
15,774.2225880622864,1676566207.3611872
69,717.9620406627655,1676566211.7244537
94,687.6187217235565,1676566230.6464572
71,744.7706973552704,1676566238.5271728
57,759.2226004600525,1676566239.738605
41,788.4246864318848,1676566269.2443988
81,758.492401599884,1676566271.1941936
38,793.819965839386,1676566274.229307
76,770.8723216056824,1676566283.609698
90,772.1339085102081,1676566314.917139
84,803.1140987873077,1676566315.5411744
93,780.375625371933,1676566323.44486
72,837.3591704368591,1676566331.006523
79,850.1367781162262,1676566362.9410222
87,871.7708940505981,1676566384.166683
50,937.1560151576996,1676566418.1946223
88,1221.5604593753815,1676566733.9624143
89,1485.0997166633606,1676567027.889749
44,1730.7103519439697,1676567211.5863996
