REGION_INDEX,TIME,STARTEND
-1,450.60726022720337,1676525376.060423
24,328.0774745941162,1676526076.8644896
28,331.62334656715393,1676526081.0287223
3,358.91750955581665,1676526102.1780324
19,366.99875926971436,1676526108.4550962
20,368.19491267204285,1676526109.4533522
13,376.9293098449707,1676526118.7620993
21,393.6560502052307,1676526134.863324
0,424.22733426094055,1676526141.933856
41,367.1081418991089,1676526147.001095
14,405.54281067848206,1676526147.0901673
22,415.5855624675751,1676526156.6969318
4,414.95814180374146,1676526158.2186012
32,380.7883415222168,1676526160.6278
27,413.89116072654724,1676526163.3830585
35,388.2164270877838,1676526168.067675
2,430.0015082359314,1676526171.2195826
95,334.6198763847351,1676526175.7366047
25,427.6941649913788,1676526176.4962134
54,398.32896542549133,1676526178.5743258
26,436.60019731521606,1676526186.004413
51,410.09896898269653,1676526189.8556137
81,349.55043601989746,1676526190.46717
46,417.6715648174286,1676526197.7189157
62,404.8297703266144,1676526206.5965266
34,427.84115839004517,1676526207.6802304
9,468.4938323497772,1676526210.3270843
10,473.6948778629303,1676526215.079605
23,466.4003291130066,1676526215.1871023
1,492.25974464416504,1676526216.129167
6,476.10249042510986,1676526217.7250812
12,477.07766580581665,1676526218.9103785
49,439.6582133769989,1676526219.7789614
60,418.3927607536316,1676526220.2575607
74,411.05311918258667,1676526221.2584066
77,416.38482093811035,1676526226.8938682
61,429.78104758262634,1676526231.5968673
56,433.3018696308136,1676526235.058452
17,498.8973686695099,1676526240.4448388
31,470.95473074913025,1676526250.793963
37,476.2138526439667,1676526256.1033
55,458.0076985359192,1676526259.3485756
5,529.1766905784607,1676526270.805413
91,431.959477186203,1676526273.0760143
90,434.4527473449707,1676526276.1694593
86,436.74221539497375,1676526277.7920144
11,537.0106375217438,1676526278.3957374
84,444.5815589427948,1676526285.631108
29,509.29973912239075,1676526288.260785
38,511.5264310836792,1676526291.4393306
52,511.5529160499573,1676526291.7983546
57,497.68354058265686,1676526299.547785
89,457.8914849758148,1676526299.6081712
63,497.85602283477783,1676526299.7249572
42,522.9285416603088,1676526302.8175683
70,501.3709604740143,1676526303.1568244
85,472.2418999671936,1676526313.29168
66,511.9124541282654,1676526313.6796412
94,478.16947746276855,1676526319.2858815
47,542.2040810585022,1676526322.251447
58,529.8979876041412,1676526331.7620769
8,603.8073930740356,1676526345.6401198
73,544.1055910587311,1676526345.6682901
65,553.6489810943604,1676526355.4403236
82,536.1698551177979,1676526377.132327
18,635.9201879501343,1676526377.3766816
80,570.780535697937,1676526381.4451902
33,607.723495721817,1676526387.562707
15,647.1305651664734,1676526388.6779284
43,623.2906816005707,1676526403.3804276
71,606.2530333995819,1676526408.024273
72,606.7418324947357,1676526408.56219
39,629.3117418289185,1676526409.201058
93,577.5000612735748,1676526418.6168737
36,643.0727672576904,1676526422.9237843
75,613.5027530193329,1676526423.7179985
50,655.7056217193604,1676526435.8260252
78,625.4052472114563,1676526436.4127688
69,638.3266491889954,1676526440.1137164
16,703.4170560836792,1676526444.9647624
68,649.4307057857513,1676526451.2022183
30,673.9702551364899,1676526453.942668
7,733.8534708023071,1676526475.6865025
76,684.422621011734,1676526494.9500227
45,724.0855529308319,1676526504.1329398
59,707.8994784355164,1676526509.7639844
92,673.5737738609314,1676526514.6904604
83,686.1771018505096,1676526527.236758
44,747.2386167049408,1676526527.2856874
40,764.373015165329,1676526544.273935
79,759.045414686203,1676526570.0530667
64,772.5479762554169,1676526574.4070857
53,834.4658997058868,1676526614.711117
88,795.2005908489227,1676526637.520515
87,1176.9707903862,1676527018.2066638
67,1439.6733152866364,1676527241.451327
48,1678.7081398963928,1676527458.7553697
