REGION_INDEX,TIME,STARTEND
-1,431.64298701286316,1676555359.7263663
1,343.7043077945709,1676556038.110472
20,362.4421331882477,1676556068.368122
14,380.72275018692017,1676556076.307915
39,348.77130579948425,1676556086.7433558
43,358.55942821502686,1676556096.510027
0,407.5013110637665,1676556101.9093657
19,396.88162636756897,1676556102.5541399
2,410.31407856941223,1676556104.8922293
42,368.0186674594879,1676556105.9692283
3,413.1214687824249,1676556108.1840477
31,387.9804654121399,1676556125.9685497
25,391.142067193985,1676556128.6594977
7,438.22554063796997,1676556133.198408
35,398.87951135635376,1676556136.7986805
16,431.1832115650177,1676556137.1960595
60,386.34097123146057,1676556141.8095608
52,391.17155289649963,1676556146.0990329
77,355.02957487106323,1676556156.5687876
8,463.6287200450897,1676556158.6014113
28,421.2641429901123,1676556159.0578606
23,460.28741478919983,1676556166.082748
95,366.6033515930176,1676556168.5812721
13,481.9206953048706,1676556176.6877778
57,426.745569229126,1676556181.4717176
5,487.06683921813965,1676556181.7718048
32,447.7600395679474,1676556185.5320208
21,482.83693838119507,1676556188.7630918
12,499.3849699497223,1676556194.5707407
55,442.3964352607727,1676556197.170066
48,460.37196254730225,1676556198.3606446
41,461.78949904441833,1676556199.8040226
53,446.51119780540466,1676556201.438636
22,495.9635238647461,1676556201.7587523
27,467.0986409187317,1676556204.9743872
9,511.91004252433777,1676556206.8805618
82,416.873831987381,1676556218.7303464
74,418.7515821456909,1676556220.6190047
15,515.8286182880402,1676556221.8416402
11,529.2444977760315,1676556223.7065613
69,425.6599781513214,1676556227.1293766
73,425.85961174964905,1676556227.7268767
72,426.400443315506,1676556228.1981697
36,496.28024673461914,1676556234.1829906
81,432.9153730869293,1676556234.5838969
30,497.02827548980713,1676556235.0039165
26,497.94745421409607,1676556235.823381
79,442.1438407897949,1676556243.7727077
90,465.34109377861023,1676556267.1192007
62,518.9141707420349,1676556273.7687173
63,521.4946882724762,1676556276.3489861
91,474.92401909828186,1676556277.115886
50,522.5452101230621,1676556277.2939095
47,543.0905978679657,1676556281.2713575
4,589.1237485408783,1676556284.1862636
78,484.8843197822571,1676556286.5131648
58,532.2589626312256,1676556287.0722837
29,551.4797837734222,1676556289.2736444
56,536.509815454483,1676556291.2359822
45,553.2121524810791,1676556291.7371745
54,546.3041813373566,1676556301.0780182
94,508.8439748287201,1676556310.6811264
10,618.7670516967773,1676556313.2291267
84,534.1367788314819,1676556336.1518843
46,598.8275320529938,1676556337.007949
88,540.8888761997223,1676556342.5707426
24,606.7144436836243,1676556344.1760054
18,648.2910416126251,1676556353.964171
34,628.5289089679718,1676556366.4475265
33,635.5261523723602,1676556373.2695522
17,670.1100430488586,1676556375.7666311
61,627.8236453533173,1676556382.7184205
37,645.034380197525,1676556382.9953768
6,689.848573923111,1676556384.5536585
76,597.45161652565,1676556398.9901502
93,602.9109268188477,1676556404.7479403
59,661.1248013973236,1676556415.939802
68,616.7191467285156,1676556418.1881983
66,618.583826303482,1676556420.1035616
64,683.6232368946075,1676556438.7398543
40,714.0073778629303,1676556452.0219238
70,653.704124212265,1676556455.3072374
80,666.5676527023315,1676556468.2361598
67,669.8993620872498,1676556471.4190223
85,674.2600762844086,1676556476.1035771
49,740.6574881076813,1676556478.6463175
89,714.1905381679535,1676556514.9274194
38,786.4060199260712,1676556524.3669758
92,723.56822681427,1676556525.7593827
71,724.7801837921143,1676556526.3834386
65,790.8878271579742,1676556546.0047529
75,769.6358153820038,1676556571.9211652
51,859.1735451221466,1676556613.9227247
83,837.5261332988739,1676556639.2930381
86,1105.401639699936,1676556907.2448087
87,1459.3763811588287,1676557261.0582523
44,1731.2783286571503,1676557469.802315
