REGION_INDEX,TIME,STARTEND
-1,454.12317728996277,1676578128.99593
8,322.4781436920166,1676578810.1222653
3,368.29605197906494,1676578856.4510338
37,344.5268075466156,1676578862.968454
2,381.84663796424866,1676578869.3830824
27,351.2123353481293,1676578869.7260506
1,384.6554367542267,1676578871.9737492
33,360.7758412361145,1676578879.8423054
21,367.4851064682007,1676578886.1486654
0,402.25220012664795,1676578889.929879
13,409.668420791626,1676578897.5839393
23,386.2954316139221,1676578904.6266375
43,356.7142653465271,1676578906.6216383
63,363.96602988243103,1676578913.6116326
14,432.70147037506104,1676578921.4990213
9,434.010112285614,1676578921.5987856
24,413.8764374256134,1676578932.427667
95,328.6883816719055,1676578938.8905253
55,393.39342284202576,1676578942.8352268
31,426.11739587783813,1676578945.183586
62,409.94388365745544,1676578959.5889587
26,441.4262499809265,1676578959.9399285
93,353.9491276741028,1676578964.151347
36,445.7281901836395,1676578964.1695795
47,415.2537236213684,1676578964.9342742
45,415.0883536338806,1676578964.9955769
39,422.55399894714355,1676578971.7967026
12,487.5817587375641,1676578975.6370819
25,462.03770208358765,1676578980.551394
11,497.82336020469666,1676578985.8787615
30,467.0482668876648,1676578986.1146095
29,468.50286507606506,1676578986.9512885
80,412.24671053886414,1676578993.5684717
32,481.80106234550476,1676579000.8676186
74,419.6672291755676,1676579000.909327
81,424.81083726882935,1676579006.1326246
28,489.6493535041809,1676579008.1629443
40,460.83160519599915,1676579010.074328
51,461.9789397716522,1676579011.6596105
18,496.23105692863464,1676579014.768515
65,468.2630786895752,1676579017.4711215
56,468.31062364578247,1676579017.752602
59,470.10846972465515,1676579020.064325
5,533.787446975708,1676579022.0654273
38,475.458788394928,1676579024.701667
69,459.87968587875366,1676579041.0319774
60,491.1622545719147,1676579041.1183221
15,525.6718819141388,1676579043.8766437
61,495.6664023399353,1676579045.3108933
6,557.3961794376373,1676579045.8735938
89,464.5354416370392,1676579046.386171
86,471.1280541419983,1676579052.924117
17,535.317141532898,1676579053.8544466
57,508.82760190963745,1676579058.269771
90,449.9009997844696,1676579060.3009212
19,547.0699055194855,1676579065.7334383
48,519.4197854995728,1676579069.0998256
16,552.1939890384674,1676579070.3879123
67,491.86883449554443,1676579073.0215552
53,525.2048559188843,1676579074.6466959
4,596.2596170902252,1676579084.4245932
41,541.3677227497101,1676579090.6105006
50,547.2911124229431,1676579096.97136
34,584.7537267208099,1676579103.195342
83,562.6812038421631,1676579144.4719718
66,577.3272981643677,1676579158.1458857
64,613.4434089660645,1676579163.0322337
58,619.7777411937714,1676579169.2197306
10,681.934798002243,1676579169.6831255
46,628.4265208244324,1676579178.3338203
82,598.4976816177368,1676579180.3373182
77,600.0636541843414,1676579181.398599
75,602.0108723640442,1676579183.2528756
22,670.2280371189117,1676579188.8918421
94,587.7158572673798,1676579197.9178603
70,622.960159778595,1676579204.112767
71,626.074244260788,1676579207.226699
73,627.1158862113953,1676579208.3877456
76,630.369225025177,1676579211.6113756
35,700.5560626983643,1676579218.9977572
52,677.8664500713348,1676579227.3081956
20,719.4686532020569,1676579238.1322088
78,659.2360367774963,1676579240.5579798
79,672.3266887664795,1676579253.6484487
44,715.4828753471375,1676579265.3903222
72,685.5002942085266,1676579266.7424026
84,690.2399694919586,1676579272.0359056
91,667.6077733039856,1676579277.809717
87,727.7705769538879,1676579309.6345034
85,728.8355116844177,1676579310.626676
42,797.8420629501343,1676579347.364671
7,881.046816110611,1676579369.2751677
88,790.3815712928772,1676579372.2460432
54,851.5342059135437,1676579400.9759953
92,1107.6129386425018,1676579717.8150697
68,1404.8282656669617,1676579985.9811716
49,1686.2236590385437,1676580235.904097
