REGION_INDEX,TIME,STARTEND
-1,640.8193776607513,1676739686.8908458
14,558.0921621322632,1676740856.3164396
47,535.3240480422974,1676740858.218043
23,601.2214076519012,1676740919.6249163
15,622.8109257221222,1676740921.0351765
33,610.6863627433777,1676740933.5877469
26,620.9847252368927,1676740943.8873448
31,637.7602350711823,1676740960.6633675
49,639.7753233909607,1676740988.9674273
0,708.1891469955444,1676740995.5883033
48,673.2101736068726,1676740996.1047673
18,705.7587323188782,1676741003.9827554
58,596.391747713089,1676741008.3569427
28,691.7683291435242,1676741014.671333
1,721.4747457504272,1676741019.6992202
40,702.9748213291168,1676741025.876435
56,681.5343623161316,1676741031.208362
20,741.2621943950653,1676741039.4865313
38,720.9643015861511,1676741043.8659153
17,773.5707128047943,1676741071.7949827
29,752.1489927768707,1676741075.0520296
39,772.0010876655579,1676741094.9028158
30,779.3750545978546,1676741102.2780933
8,837.4830484390259,1676741129.6198528
50,790.9159548282623,1676741140.5757546
46,819.3811333179474,1676741142.2751265
42,828.4689593315125,1676741151.3652415
13,855.7110545635223,1676741153.9365702
57,809.6990630626678,1676741158.8815427
25,843.9350390434265,1676741166.8380244
34,865.0394067764282,1676741187.9406426
9,900.4680795669556,1676741192.5709705
10,907.6560769081116,1676741199.729119
36,888.6185774803162,1676741211.5198658
55,865.4307210445404,1676741215.1049674
22,920.170752286911,1676741218.3949413
7,937.6659672260284,1676741226.5828032
52,877.9506077766418,1676741227.6102338
45,944.8200538158417,1676741267.7150495
3,988.2666738033295,1676741276.7045798
16,997.186847448349,1676741295.4109552
51,966.4022057056427,1676741316.061876
54,1029.361184835434,1676741379.0352325
11,1089.7447664737701,1676741387.9716296
41,1081.9667026996613,1676741404.86801
21,1127.176765680313,1676741425.4010284
37,1102.8627457618713,1676741425.7639692
19,1128.8189787864685,1676741427.0433216
24,1114.1390533447266,1676741437.04219
32,1116.7072458267212,1676741439.6098235
6,1228.9780209064484,1676741526.6158895
5,1272.5691108703613,1676741570.2019312
43,1259.515456199646,1676741582.4095738
4,1298.969782114029,1676741596.6023088
44,1287.567734003067,1676741610.4624677
12,1353.8313829898834,1676741652.0569065
53,1361.7374634742737,1676741711.4138553
35,1885.6235883235931,1676742208.5249197
2,1942.9120028018951,1676742231.350279
27,2028.3610475063324,1676742351.2643576
