REGION_INDEX,TIME,STARTEND
-1,458.96610927581787,1676829687.0146708
9,391.28136467933655,1676830489.6454496
15,441.592689037323,1676830541.7824495
49,403.73625588417053,1676830574.5470572
7,481.66411685943604,1676830580.028266
6,491.3988950252533,1676830589.7847066
3,507.4391419887543,1676830606.409415
2,530.4938569068909,1676830629.4634955
18,510.66916060447693,1676830644.8960335
41,524.2233777046204,1676830658.5223835
16,553.2175447940826,1676830686.307466
23,552.3634309768677,1676830686.5078516
51,523.9114077091217,1676830694.721809
14,600.5779030323029,1676830698.9981546
10,604.0480270385742,1676830702.4120424
30,568.847323179245,1676830703.2702794
50,552.2798314094543,1676830723.0904706
48,568.6431801319122,1676830727.6954315
32,609.5173621177673,1676830743.9900994
47,611.6646373271942,1676830770.6511672
25,638.7390978336334,1676830773.3451223
44,616.1287860870361,1676830775.1154296
33,648.586133480072,1676830782.932972
28,660.1500062942505,1676830794.7561963
45,641.0256688594818,1676830799.9759572
29,666.4130351543427,1676830801.0190854
1,719.6095023155212,1676830817.9862306
11,720.5822837352753,1676830819.0015574
46,699.062287569046,1676830858.049209
53,707.9008660316467,1676830878.7109742
12,795.5298640727997,1676830897.3631883
27,770.591109752655,1676830905.1970613
17,800.0918290615082,1676830934.0201097
4,835.266256570816,1676830934.2364612
5,835.7541129589081,1676830934.438008
52,785.949773311615,1676830956.7599518
35,850.0993151664734,1676830985.2885542
8,891.7450478076935,1676830990.1093729
56,884.9546947479248,1676831044.502742
31,913.8673977851868,1676831048.2904642
34,1000.6776156425476,1676831136.7109213
19,1014.5429213047028,1676831148.8050494
38,1013.665379524231,1676831149.1983654
24,1031.0852138996124,1676831165.691278
20,1032.3892302513123,1676831166.5930092
0,1096.0224239826202,1676831194.3997548
42,1066.1017663478851,1676831200.4006057
58,1060.7415347099304,1676831220.8026667
22,1154.0245490074158,1676831288.8897781
54,1121.4263560771942,1676831292.236944
13,1198.4879877567291,1676831300.321567
36,1243.6746492385864,1676831378.8700268
21,1353.3275859355927,1676831488.4856148
37,1376.2197341918945,1676831511.754885
39,1399.7275366783142,1676831535.259438
57,1579.0074722766876,1676831739.0657475
26,1655.9286041259766,1676831790.534837
43,1696.4161128997803,1676831855.8523166
40,1752.8794794082642,1676831889.2803557
55,2102.788975715637,1676832262.3366315
