REGION_INDEX,TIME,STARTEND
-1,394.86500358581543,1676819698.067699
2,413.9617097377777,1676820452.6490662
4,463.59891390800476,1676820502.1387556
3,466.70331954956055,1676820505.3906758
0,503.3017864227295,1676820541.7982006
1,506.04396080970764,1676820544.540101
14,484.04677844047546,1676820554.5640461
15,507.37345838546753,1676820577.8645113
8,521.3151409626007,1676820591.04192
13,526.867424249649,1676820597.2313902
12,553.8629083633423,1676820624.2331274
51,540.6492321491241,1676820642.4631793
49,570.1790313720703,1676820671.4467783
46,586.5408113002777,1676820687.924531
30,622.7846491336823,1676820694.4703412
31,629.4375758171082,1676820701.1236527
24,634.0809383392334,1676820705.779138
34,607.0583946704865,1676820708.631604
5,687.5939345359802,1676820725.8888936
52,630.0297257900238,1676820731.843234
27,664.5063645839691,1676820735.3177333
42,646.2926614284515,1676820747.6736724
7,680.0024411678314,1676820749.683254
43,651.2060744762421,1676820752.5408888
56,685.2218096256256,1676820787.2828274
47,693.2448122501373,1676820794.6285176
50,698.0885062217712,1676820799.8853087
10,756.1244621276855,1676820826.0220551
9,763.1532804965973,1676820833.0147252
6,822.7720062732697,1676820861.3235247
26,791.6801204681396,1676820862.577616
57,783.9690194129944,1676820886.0300903
19,832.9105961322784,1676820906.568016
54,837.6299548149109,1676820939.6909184
33,870.409496307373,1676820941.0248663
20,881.0694591999054,1676820954.721395
16,911.8485610485077,1676820982.3402126
17,926.5403211116791,1676820997.244714
48,907.4489378929138,1676821008.7165601
28,954.9078385829926,1676821026.5935402
53,937.4496567249298,1676821039.5108585
58,949.424218416214,1676821051.4853048
44,966.7256138324738,1676821068.1185565
18,1000.258129119873,1676821070.9648433
38,1038.8958015441895,1676821140.9701142
23,1082.5187532901764,1676821156.2037075
25,1104.4035239219666,1676821175.2020938
37,1087.4496576786041,1676821189.1029284
21,1131.9801638126373,1676821204.0327353
35,1148.5345706939697,1676821250.1859612
45,1159.575867652893,1676821260.9292395
11,1227.9820437431335,1676821298.1234689
22,1457.055400133133,1676821530.7490256
55,1442.1546063423157,1676821544.2158144
29,1650.4663343429565,1676821722.1525018
32,1717.6659243106842,1676821788.735481
36,1691.8171236515045,1676821793.4686816
40,1735.8078846931458,1676821837.8180246
41,1921.9504158496857,1676822025.5866635
39,2814.1002831459045,1676822916.1063006
