REGION_INDEX,TIME,STARTEND
-1,542.8993661403656,1676518166.582062
1,654.2760767936707,1676519372.2317874
0,761.1775534152985,1676519458.718591
17,661.9688174724579,1676519545.6258128
4,820.2505269050598,1676519579.4096
30,670.9185514450073,1676519616.916587
36,645.3052847385406,1676519622.501596
13,793.40030169487,1676519630.9619966
10,828.8632383346558,1676519650.3342762
20,739.4197654724121,1676519654.316621
23,748.0543920993805,1676519663.2831895
9,852.9977650642395,1676519674.1972945
12,860.0867185592651,1676519681.2122073
38,711.466527223587,1676519720.6649108
6,968.9790778160095,1676519759.5905635
22,850.5346252918243,1676519765.3858905
11,948.539491891861,1676519769.7939677
2,1057.0154781341553,1676519774.9937284
25,836.607342004776,1676519782.7670333
8,964.112256526947,1676519785.3618252
5,1030.1232624053955,1676519808.0437381
37,908.3919732570648,1676519885.6325414
3,1145.1209444999695,1676519904.1766322
16,1088.8019728660583,1676519926.6077049
18,1066.1883990764618,1676519949.6984384
15,1115.4547617435455,1676519953.2305927
24,1061.4246771335602,1676519976.1288128
29,1031.2401554584503,1676519977.3181741
35,1000.9723296165466,1676519978.3048346
31,1053.9169273376465,1676520011.644469
26,1076.1061162948608,1676520022.04427
41,1002.5734272003174,1676520042.205816
14,1227.9460318088531,1676520065.544982
32,1134.9543964862823,1676520092.5225725
21,1216.169186115265,1676520130.9185421
33,1197.5944757461548,1676520155.4879618
34,1225.2787415981293,1676520202.4171157
7,1458.0826303958893,1676520248.448216
27,1304.050241947174,1676520250.0633287
40,1276.9198524951935,1676520294.7652209
39,1326.819874048233,1676520344.634376
42,1323.5762882232666,1676520363.383289
28,1694.1038177013397,1676520640.2479408
19,2114.036257505417,1676520997.6495905
