REGION_INDEX,TIME,STARTEND
-1,403.9318697452545,1676610078.8184984
10,491.3883419036865,1676610943.0151541
0,537.1747996807098,1676610976.8084784
35,512.7945747375488,1676610996.9140375
7,552.0475783348083,1676611003.6116538
38,525.1299471855164,1676611009.2858694
11,623.8739075660706,1676611075.5006511
31,595.1342930793762,1676611079.4451175
23,624.2752134799957,1676611108.9601486
24,653.4536457061768,1676611138.138317
3,729.4474017620087,1676611169.190326
17,692.9596087932587,1676611177.605744
26,699.2511448860168,1676611183.9360063
29,701.4314432144165,1676611185.5930235
13,744.739964723587,1676611196.4492624
14,748.7584478855133,1676611232.9661927
22,755.2097907066345,1676611239.8947132
39,758.1280918121338,1676611242.264052
9,792.0744299888611,1676611243.6357968
16,796.3557374477386,1676611280.5634887
42,848.3311386108398,1676611347.721274
28,872.3944003582001,1676611356.55604
4,927.6785395145416,1676611367.429045
37,895.2127459049225,1676611379.3675845
36,904.3146758079529,1676611388.4337792
5,971.542768239975,1676611411.1847112
21,937.728597164154,1676611422.009997
32,941.0677592754364,1676611425.3802037
12,996.5717568397522,1676611448.1988382
6,1032.3444428443909,1676611483.9165974
18,1006.4833991527557,1676611491.1295352
19,1043.6835651397705,1676611528.3296185
15,1059.8625257015228,1676611544.0702703
33,1068.5227799415588,1676611552.834662
2,1115.0227801799774,1676611554.6178417
34,1089.8930237293243,1676611574.0391667
40,1119.9715900421143,1676611604.0361347
30,1120.3202874660492,1676611604.481889
25,1155.9071073532104,1676611640.5919087
41,1171.7174453735352,1676611671.0325665
1,1266.5379648208618,1676611706.1038933
8,1280.264424085617,1676611731.8261998
27,1639.0186474323273,1676612123.7029045
20,1977.2776231765747,1676612461.5586352
