REGION_INDEX,TIME,STARTEND
-1,388.24088883399963,1676498181.8903708
0,525.1641664505005,1676499053.1014388
38,597.5830698013306,1676499186.8069155
2,651.5592443943024,1676499211.5937963
36,636.3611531257629,1676499225.7270856
9,675.9013922214508,1676499234.000879
20,688.9402651786804,1676499247.2043145
13,714.2386717796326,1676499272.2027502
16,742.3023357391357,1676499300.5639884
26,744.7492642402649,1676499303.273737
8,772.1542093753815,1676499332.185448
35,743.3436303138733,1676499332.5486202
5,794.4746987819672,1676499354.5044844
19,819.355628490448,1676499377.5108812
11,850.5417909622192,1676499408.641185
1,907.6757483482361,1676499434.7755883
12,878.6149246692657,1676499437.0377438
6,894.5897274017334,1676499452.8929446
10,896.2817854881287,1676499454.381325
39,896.4827973842621,1676499486.2537081
7,938.7483115196228,1676499498.7787688
15,943.8977060317993,1676499502.128244
29,971.5583534240723,1676499530.1418862
23,983.5977845191956,1676499541.972472
42,963.0206308364868,1676499552.4776437
22,1027.3475151062012,1676499585.6110582
27,1030.3375010490417,1676499588.9522264
24,1035.2454097270966,1676499593.619992
30,1009.4856395721436,1676499598.596556
4,1047.6405620574951,1676499605.4364452
18,1059.703829050064,1676499617.8590603
3,1071.0089025497437,1676499630.4535716
31,1136.1533041000366,1676499725.2926495
25,1186.1264843940735,1676499745.7131484
14,1212.535815000534,1676499770.7661598
34,1185.691796541214,1676499774.8968563
41,1189.0643265247345,1676499778.521058
32,1189.8141555786133,1676499779.1547785
28,1235.3589437007904,1676499793.9425488
40,1289.4603216648102,1676499878.9170854
33,1293.4671404361725,1676499882.9175124
37,1426.241628408432,1676500015.6076732
21,1656.108103275299,1676500214.3720646
17,2064.5808453559875,1676500622.8427215
