REGION_INDEX,TIME,STARTEND
-1,440.1080048084259,1676488184.4716082
3,489.7650537490845,1676489076.6575403
35,520.4810037612915,1676489157.850653
32,554.6161024570465,1676489174.5080085
29,578.1200819015503,1676489198.1273625
17,594.1046497821808,1676489213.8740022
40,587.1014573574066,1676489224.8701117
0,638.5175013542175,1676489225.8610523
18,614.8112659454346,1676489234.4179683
24,687.9038512706757,1676489307.6418123
9,701.7823719978333,1676489322.1303344
10,706.3647470474243,1676489326.0040336
20,710.4240155220032,1676489330.322553
6,760.8632335662842,1676489347.9248703
23,747.4333760738373,1676489369.0121763
1,808.2694289684296,1676489395.6125221
36,760.7679009437561,1676489398.4462612
8,816.3949637413025,1676489436.1167204
12,856.8701550960541,1676489478.468789
33,862.7125468254089,1676489482.3230727
39,876.2055275440216,1676489513.9077086
22,904.502340555191,1676489524.2534592
34,900.095404624939,1676489537.5031788
37,905.7235975265503,1676489543.336749
27,947.6194190979004,1676489567.6268454
28,964.9391870498657,1676489584.9498866
16,983.4361321926117,1676489603.1882133
15,1015.4780082702637,1676489635.2227619
4,1051.8807559013367,1676489639.2786913
13,1023.3146934509277,1676489644.9113307
26,1049.3376166820526,1676489669.235053
2,1129.0586009025574,1676489715.9307163
19,1111.7042529582977,1676489731.6029263
30,1117.0996396541595,1676489736.9915004
7,1122.6284837722778,1676489742.468241
31,1136.8030779361725,1676489756.6949573
11,1140.9146435260773,1676489761.0460086
38,1126.4643383026123,1676489763.9299572
25,1175.050241947174,1676489794.8787801
41,1275.7925369739532,1676489913.5395796
5,1341.6371574401855,1676489928.6987069
42,1326.3326144218445,1676489963.9090958
21,1989.3241410255432,1676490609.2201366
14,2453.3833923339844,1676491073.2872756
