REGION_INDEX,TIME,STARTEND
-1,365.84642481803894,1676501697.610365
0,479.73785042762756,1676502503.8282044
33,536.4429881572723,1676502606.474347
28,563.3972980976105,1676502633.276098
26,603.8753566741943,1676502673.77434
34,614.3074431419373,1676502684.6635015
38,630.2262554168701,1676502701.6017659
11,666.3465824127197,1676502705.2659228
16,673.1954350471497,1676502715.5873282
12,679.5084316730499,1676502718.7177463
4,707.7978522777557,1676502732.0647728
40,664.9374136924744,1676502734.921393
19,697.6396381855011,1676502767.5040765
5,771.1729135513306,1676502796.5493228
7,761.0222113132477,1676502800.066047
1,789.7441277503967,1676502813.9313626
36,760.5914437770844,1676502831.059482
10,794.3506615161896,1676502835.752638
31,829.8256363868713,1676502899.8665242
39,839.7137544155121,1676502909.7177148
17,878.3974986076355,1676502917.4594617
32,851.65367603302,1676502921.7111518
6,883.2941184043884,1676502922.368721
8,903.0078730583191,1676502942.0519488
29,896.563901424408,1676502966.442719
21,926.5162086486816,1676502996.3664322
24,926.5298779010773,1676502996.3801384
35,925.9335780143738,1676502996.4278715
13,967.7709619998932,1676503006.814451
22,943.1187891960144,1676503012.9690728
9,1005.2851378917694,1676503044.3294673
25,989.4224500656128,1676503059.2725542
15,1048.0711858272552,1676503087.548526
18,1036.5552682876587,1676503106.1782668
2,1120.772379875183,1676503153.1612935
37,1096.9062592983246,1676503166.9196343
23,1122.8571639060974,1676503192.7072601
27,1157.9814355373383,1676503227.8603294
41,1164.756291627884,1676503234.7403724
42,1181.419897556305,1676503251.402606
20,1192.766509771347,1676503262.630852
3,1361.5883603096008,1676503385.8549864
30,1608.871930360794,1676503678.750917
14,2018.391893863678,1676504057.5213094
