REGION_INDEX,TIME,STARTEND
-1,439.2154631614685,1676667677.2339015
1,529.1911787986755,1676668610.192339
37,555.5041356086731,1676668672.6934345
25,573.7435140609741,1676668686.250352
33,593.5422434806824,1676668705.864582
20,626.632265329361,1676668739.1682553
14,627.596444606781,1676668740.0033996
4,657.3154196739197,1676668742.6148775
40,601.5332729816437,1676668744.3350701
7,731.6840569972992,1676668823.5017917
9,751.4962339401245,1676668843.31346
21,731.8512122631073,1676668844.3870077
6,777.7381365299225,1676668858.8280406
13,758.7854926586151,1676668871.1924481
11,767.7079315185547,1676668879.4682164
19,783.0941164493561,1676668895.9584162
39,778.5211362838745,1676668921.3230026
23,819.4244663715363,1676668932.1681497
5,853.8975915908813,1676668935.0042634
10,836.9750566482544,1676668948.66615
8,859.3868787288666,1676668951.2045553
42,867.6974864006042,1676669010.5176222
35,909.7878682613373,1676669026.9772437
26,924.8544993400574,1676669037.3612385
22,936.3368766307831,1676669048.8730333
3,973.373284816742,1676669058.6726794
28,973.6578733921051,1676669086.2523253
2,1034.3678226470947,1676669115.3527174
15,1003.5038361549377,1676669115.910828
29,1009.4775514602661,1676669122.072278
24,1032.4668629169464,1676669144.9738526
12,1053.4504120349884,1676669165.4513502
18,1070.4603824615479,1676669183.3255875
17,1089.979596376419,1676669202.4454484
32,1137.2702786922455,1676669249.5561707
41,1120.3634548187256,1676669263.1652431
30,1155.747829914093,1676669268.3424997
27,1162.5503387451172,1676669275.0572367
38,1208.9060513973236,1676669326.0952613
31,1322.4016783237457,1676669434.7333062
0,1389.9809687137604,1676669471.2445834
36,1393.553964138031,1676669510.9007297
34,1670.6894581317902,1676669782.9755108
16,2051.221191883087,1676670163.6282315
