REGION_INDEX,TIME,STARTEND
-1,398.4465892314911,1676876935.920224
1,651.2751002311707,1676878367.3171196
0,660.6399123668671,1676878380.596137
10,723.8889865875244,1676878499.5815194
2,835.2955739498138,1676878551.337447
3,788.2309367656708,1676878563.7940397
9,790.5688939094543,1676878566.4215674
27,843.5264296531677,1676878619.090094
5,873.7337908744812,1676878649.5862315
23,888.2275557518005,1676878664.067967
31,893.7389554977417,1676878669.5197349
13,900.2536735534668,1676878675.8197615
18,906.1655495166779,1676878687.5679605
12,956.5322568416595,1676878732.224079
6,1022.3761050701141,1676878798.2287314
22,1025.2549374103546,1676878801.0959568
4,1041.979079246521,1676878817.5422523
7,1052.5406725406647,1676878828.3932164
16,1058.7210862636566,1676878834.4512765
30,1092.704312324524,1676878868.418486
8,1135.3513033390045,1676878911.204118
20,1197.6533374786377,1676878974.3090746
32,1211.1622047424316,1676878986.9628022
11,1237.7966248989105,1676879013.48855
33,1242.8169388771057,1676879018.625351
29,1322.2217934131622,1676879102.768388
14,1328.8969511985779,1676879104.4582083
17,1348.1173558235168,1676879129.519491
28,1394.3969910144806,1676879174.9435024
24,1444.6246342658997,1676879220.465172
25,1583.2045674324036,1676879359.044846
26,1585.4121561050415,1676879361.2526815
19,1602.7415890693665,1676879379.397496
21,1650.7417941093445,1676879426.582693
15,2306.038857460022,1676880081.599706
