REGION_INDEX,TIME,STARTEND
-1,361.5192930698395,1676676025.2304938
0,758.8611352443695,1676677125.6939077
7,748.9424777030945,1676677148.1948423
6,810.5957255363464,1676677209.7245848
13,852.703626871109,1676677251.9563215
23,853.5736804008484,1676677252.9125974
14,892.3052458763123,1676677291.4778707
25,911.3926222324371,1676677310.2834024
11,933.4872601032257,1676677332.509225
33,939.9964640140533,1676677339.2054567
10,952.0039963722229,1676677351.0261297
4,979.8700773715973,1676677379.2875018
8,1009.7428839206696,1676677408.9953961
1,1023.9785594940186,1676677422.8004632
27,1070.4028284549713,1676677469.7586677
2,1096.0066277980804,1676677494.7255747
9,1159.2958557605743,1676677558.5482054
20,1160.743317604065,1676677559.5745275
12,1162.4740793704987,1676677561.726728
31,1162.7871034145355,1676677561.9960513
24,1232.0916109085083,1676677631.0420396
18,1263.5268006324768,1676677662.7119992
32,1306.1412560939789,1676677705.3623047
5,1327.1075222492218,1676677726.2210293
21,1334.5612304210663,1676677733.7891474
30,1341.0089449882507,1676677740.3642454
3,1430.9463160037994,1676677829.7191408
22,1479.9579474925995,1676677879.296875
26,1529.2534401416779,1676677939.688104
15,1556.287514925003,1676677955.4600601
29,1588.6256330013275,1676677987.981369
28,1724.3946342468262,1676678123.750359
19,1725.3586122989655,1676678124.2018328
16,1794.2258825302124,1676678193.427268
17,2696.156172990799,1676679095.3529994
