REGION_INDEX,TIME,STARTEND
-1,465.4024748802185,1676869490.9452424
9,671.697229385376,1676870705.1078265
4,735.1374547481537,1676870769.6313627
8,745.7525730133057,1676870779.1634831
10,837.1386530399323,1676870870.5494258
12,850.5323700904846,1676870883.9518774
28,878.6138017177582,1676870912.1747766
27,888.3529815673828,1676870921.9138594
26,892.8292665481567,1676870926.376067
18,894.8457260131836,1676870928.2756076
32,903.915586233139,1676870937.476413
21,915.3220007419586,1676870948.8689523
20,923.5619728565216,1676870956.9921556
2,946.5396070480347,1676870979.7277162
24,1001.843489408493,1676871035.3907075
14,1009.7384581565857,1676871043.1578546
3,1019.1219465732574,1676871051.2536116
19,1040.3481101989746,1676871073.777782
11,1083.3973016738892,1676871116.8080986
0,1135.9619987010956,1676871169.871111
22,1142.0922722816467,1676871175.639439
25,1150.0612134933472,1676871183.6079576
33,1183.3716897964478,1676871216.5007358
30,1220.5551686286926,1676871254.1158998
17,1287.2516129016876,1676871320.681795
13,1299.5599455833435,1676871332.979369
29,1308.797431230545,1676871342.3586004
7,1360.2805905342102,1676871394.774173
15,1388.6697425842285,1676871422.0891318
23,1403.832190990448,1676871437.379451
6,1627.90713763237,1676871662.4008484
1,1636.8835017681122,1676871670.2698462
31,1642.9012928009033,1676871676.4619656
5,1723.846816778183,1676871758.3407767
16,2258.235060930252,1676872291.6539211
