REGION_INDEX,TIME,STARTEND
-1,403.5572552680969,1676847930.893281
7,651.5443029403687,1676849001.7641382
6,765.326512336731,1676849115.3119934
9,831.9238517284393,1676849182.1435015
2,853.2890121936798,1676849203.305893
25,871.7243218421936,1676849222.1315231
20,887.6963078975677,1676849237.9562578
17,898.4989771842957,1676849248.7588968
26,904.7463338375092,1676849255.1762784
31,913.0211815834045,1676849263.2203789
8,934.3497252464294,1676849284.5694454
3,992.0786879062653,1676849342.0722115
18,1038.3835353851318,1676849388.6431441
32,1029.59117770195,1676849439.5431094
30,1121.7749457359314,1676849471.914221
13,1140.6394958496094,1676849490.8755503
10,1154.5095462799072,1676849504.728961
29,1209.9591145515442,1676849560.0984488
21,1245.2151505947113,1676849595.5962663
33,1181.3509516716003,1676849596.5918448
19,1247.4222826957703,1676849597.6817188
27,1306.5650811195374,1676849656.9686873
0,1329.8790409564972,1676849681.051127
11,1353.4335482120514,1676849703.6853046
5,1384.7032070159912,1676849734.7719734
1,1386.1366109848022,1676849736.9598546
15,1407.2304322719574,1676849757.3591907
12,1492.0843036174774,1676849842.279581
14,1599.9836015701294,1676849950.0992565
4,1607.8578011989594,1676849957.9330173
28,1627.8299388885498,1676849977.969229
24,1646.318871974945,1676849996.7089038
23,1667.1144964694977,1676850017.4948735
22,1777.1290183067322,1676850127.5103178
16,2276.8239102363586,1676850626.952825
