REGION_INDEX,TIME,STARTEND
-1,375.3741970062256,1676862339.9847987
6,730.1076624393463,1676863431.2304666
13,739.3527648448944,1676863440.714311
2,754.8276665210724,1676863455.6160405
11,805.3761065006256,1676863506.395458
0,865.6171045303345,1676863566.6624281
10,891.2745015621185,1676863592.3828495
25,787.7729454040527,1676863609.416372
16,959.6351988315582,1676863660.9966948
5,959.956627368927,1676863661.0974238
3,982.4557435512543,1676863683.2218542
28,867.4524581432343,1676863689.3814611
30,868.4437031745911,1676863690.3731725
33,869.1330924034119,1676863694.0184958
9,1004.4305453300476,1676863705.542423
18,1092.8757328987122,1676863794.2369802
7,1127.835030555725,1676863828.8543792
20,1033.752106666565,1676863855.1793587
27,1057.6466121673584,1676863879.5768092
8,1214.7166941165924,1676863915.7369587
21,1106.7549469470978,1676863928.3987188
24,1115.967670917511,1676863937.6110597
32,1173.5172338485718,1676863998.4027822
17,1329.569257259369,1676864030.9306035
29,1228.8421368598938,1676864050.7720087
14,1356.4578909873962,1676864057.8193069
1,1368.5962686538696,1676864069.3624215
26,1252.1896035671234,1676864074.124883
23,1284.4277505874634,1676864106.0715463
4,1406.0429799556732,1676864107.1670268
31,1304.529765844345,1676864126.459953
12,1531.0524129867554,1676864247.6915202
19,1613.3884057998657,1676864330.0279658
22,1591.4114706516266,1676864413.0551946
15,2255.555358171463,1676864956.9166732
