REGION_INDEX,TIME,STARTEND
-1,367.88328862190247,1676902885.4913085
2,678.1778044700623,1676903923.9174292
11,733.4060440063477,1676903979.7930477
9,753.9752259254456,1676904000.0301354
12,760.604058265686,1676904006.9910457
5,780.6652326583862,1676904026.193929
3,797.2526512145996,1676904042.7114668
15,810.5273854732513,1676904056.9145043
30,812.2709293365479,1676904117.251608
32,829.0088586807251,1676904133.9896235
31,836.5007619857788,1676904141.4813216
18,907.7629158496857,1676904154.2728536
25,913.5678818225861,1676904159.530089
10,944.2941460609436,1676904190.3485875
8,978.1919152736664,1676904223.8846328
21,987.9966154098511,1676904233.8089762
4,1006.8404455184937,1676904252.3476562
24,1084.8632938861847,1676904330.6761138
0,1121.0309431552887,1676904366.7707374
6,1122.1331906318665,1676904367.7508838
22,1131.9800839424133,1676904377.7927635
7,1152.5318145751953,1676904398.0741704
20,1155.0436980724335,1676904401.780384
28,1186.8734693527222,1676904491.7740471
33,1192.8181908130646,1676904497.6263382
17,1302.7162971496582,1676904549.2263231
1,1363.6088716983795,1676904609.3485942
19,1376.0308685302734,1676904622.5411978
13,1379.1001076698303,1676904625.4865706
27,1333.9123148918152,1676904638.7256234
29,1333.8357472419739,1676904638.8156087
26,1514.3851158618927,1676904819.286824
23,1583.7411849498749,1676904829.5538533
16,1585.6977093219757,1676904832.207955
14,2320.5072026252747,1676905566.8943825
