REGION_INDEX,TIME,STARTEND
-1,336.25681376457214,1676678260.9160311
20,886.818216085434,1676679490.2108006
19,888.5783128738403,1676679491.9707787
2,900.5799124240875,1676679503.5650966
6,942.3541328907013,1676679545.5565574
9,1035.6480498313904,1676679638.7492402
3,1090.1108992099762,1676679693.0433102
25,1190.611831665039,1676679794.1170287
18,1205.1252477169037,1676679811.4772968
21,1317.723744392395,1676679921.0323195
15,1374.975196838379,1676679990.0048935
11,1397.0772469043732,1676680000.382052
7,1448.72247672081,1676680051.789314
16,1534.3947956562042,1676680149.4252367
1,1566.0425808429718,1676680169.0151217
13,1632.1686553955078,1676680235.6670623
17,1680.9502680301666,1676680295.9790077
22,1724.4749512672424,1676680327.7834105
0,1747.9565780162811,1676680350.8933158
14,1750.2654032707214,1676680353.8478155
4,1761.1542863845825,1676680364.1405473
24,1800.1355075836182,1676680403.5110452
10,1836.527541399002,1676680439.6288369
12,1883.0055756568909,1676680486.5035343
5,2056.135584831238,1676680659.2982812
8,2325.206904411316,1676680928.3082225
23,2853.0400698184967,1676681456.4156508
