REGION_INDEX,TIME,STARTEND
-1,361.1413505077362,1676486686.4733245
6,828.1931777000427,1676487856.746694
15,855.5904552936554,1676487915.043892
25,863.1233813762665,1676487922.6065369
13,899.9051923751831,1676487959.0948112
2,1018.0959732532501,1676488046.7976851
21,1047.904703617096,1676488107.3398108
0,1184.7334065437317,1676488212.8948417
9,1254.8306000232697,1676488283.4778237
24,1228.8460483551025,1676488288.4284616
14,1271.5334260463715,1676488330.98712
23,1276.6035523414612,1676488336.292243
11,1353.7562510967255,1676488382.2954726
5,1384.3167498111725,1676488413.0974934
18,1366.166479587555,1676488425.436098
10,1523.2305507659912,1676488551.7693627
20,1517.3270182609558,1676488577.3951719
19,1539.2612035274506,1676488598.530816
4,1660.5134897232056,1676488689.1081762
7,1747.7540521621704,1676488776.2634323
8,1782.6790001392365,1676488811.300207
3,1833.2363188266754,1676488861.6143646
17,1903.5887515544891,1676488963.3377209
16,1922.7579917907715,1676488982.5080726
1,2216.7279303073883,1676489245.1289287
12,2218.641135931015,1676489277.830754
22,2817.829986333847,1676489877.5188935
