REGION_INDEX,TIME,STARTEND
-1,472.09362149238586,1676510964.3618965
3,949.2136015892029,1676512379.6332242
8,974.7794201374054,1676512405.3059473
20,991.6832780838013,1676512442.2003033
14,1014.9294528961182,1676512445.2322779
10,1085.6083931922913,1676512516.1911037
19,1188.7001869678497,1676512639.216747
17,1271.469693660736,1676512721.9355285
23,1274.4946851730347,1676512725.3143559
12,1321.8572328090668,1676512752.2514646
13,1341.6929852962494,1676512772.1188664
22,1428.8828041553497,1676512879.350296
0,1502.3693556785583,1676512932.7760284
7,1525.0693640708923,1676512955.3182552
15,1559.3482203483582,1676512989.6267958
2,1701.5932667255402,1676513132.1805873
6,1702.4204270839691,1676513132.7713985
18,1701.0029127597809,1676513151.3626678
11,1732.4875764846802,1676513163.0703175
16,1775.204535484314,1676513205.5943153
5,1855.8620347976685,1676513286.2128797
25,1892.6575591564178,1676513343.1976373
21,1905.4448761940002,1676513356.0162888
1,1982.6414048671722,1676513413.0522857
4,2150.6378140449524,1676513581.7214155
9,2396.6450505256653,1676513827.149204
24,2889.827079772949,1676514340.5514872
