REGION_INDEX,TIME,STARTEND
-1,502.9478533267975,1676540981.0347397
3,844.8577656745911,1676542312.9677615
23,835.6257688999176,1676542343.127226
6,878.310250043869,1676542347.6609113
11,961.2244119644165,1676542437.6432521
0,1040.2449662685394,1676542508.4397411
20,1050.0742406845093,1676542557.7022996
19,1074.3746070861816,1676542581.534119
13,1203.9826936721802,1676542681.838793
25,1207.0400893688202,1676542714.566405
9,1305.813532590866,1676542774.4817102
14,1300.4041833877563,1676542776.8789027
22,1283.8633909225464,1676542791.4915662
17,1495.041128396988,1676542971.9194233
12,1507.9995665550232,1676542985.8557951
2,1514.552683353424,1676542993.1909566
8,1531.3363752365112,1676542999.9057443
15,1526.901031255722,1676543003.5257173
21,1523.8477499485016,1676543031.4756532
16,1632.093579530716,1676543108.9718518
7,1674.190684556961,1676543142.2820065
18,1643.0353634357452,1676543150.0848994
5,2013.322562456131,1676543482.673138
4,2015.8194162845612,1676543484.0406532
1,2016.0360374450684,1676543484.3856463
10,2261.709846973419,1676543729.7979515
24,2754.547551870346,1676544262.0781307
