REGION_INDEX,TIME,STARTEND
-1,349.8696117401123,1676483053.9924562
23,832.8834538459778,1676484247.9725327
1,871.2223384380341,1676484258.8510032
12,865.1877176761627,1676484280.4220152
11,903.8144679069519,1676484319.1147122
5,1121.701510667801,1676484509.5534456
19,1098.156354188919,1676484513.2830985
22,1103.5933265686035,1676484518.8738353
14,1206.808391571045,1676484621.8947513
13,1247.1160380840302,1676484662.3992794
4,1318.974194765091,1676484706.6795208
20,1310.2000167369843,1676484725.3265688
9,1348.6035282611847,1676484736.2418427
18,1406.859031677246,1676484822.0179708
25,1428.0263185501099,1676484843.016978
8,1507.2554256916046,1676484894.915964
15,1512.6360867023468,1676484927.4297333
24,1520.3077895641327,1676484935.396973
17,1554.5994203090668,1676484969.758108
3,1582.9901156425476,1676484970.6954737
6,1735.795422077179,1676485123.6666734
7,1764.9430978298187,1676485152.693744
21,1761.178379535675,1676485176.458532
2,1877.8134212493896,1676485266.5770864
0,2162.8960349559784,1676485550.5245574
10,2220.226440191269,1676485607.8290787
16,2795.587655544281,1676486210.746438
