REGION_INDEX,TIME,STARTEND
-1,373.6149871349335,1676624266.4597206
0,874.042448759079,1676625487.5389802
23,913.6624367237091,1676625572.1090913
6,964.285638332367,1676625589.6605477
15,954.1792106628418,1676625612.8730736
2,1008.0751330852509,1676625633.535541
20,1126.2714931964874,1676625784.5910385
21,1191.489536523819,1676625850.02409
9,1267.5732245445251,1676625892.8241012
18,1247.6840138435364,1676625906.2219172
5,1339.3082106113434,1676625964.9364758
25,1310.2176439762115,1676625968.6669536
14,1422.6204116344452,1676626081.0585892
8,1468.8744008541107,1676626094.09613
16,1490.8739941120148,1676626149.2388904
22,1499.9035325050354,1676626158.5508065
19,1522.1249113082886,1676626180.4920814
13,1565.7554459571838,1676626224.3515449
11,1601.9700543880463,1676626260.5370984
3,1710.8525059223175,1676626336.3127925
1,1718.5415813922882,1676626343.7505255
12,1708.9173188209534,1676626367.229344
7,1779.1356337070465,1676626404.5820618
4,2157.3861694335938,1676626783.0152957
24,2156.0967705249786,1676626814.5101206
10,2466.807681798935,1676627125.317582
17,2938.173570871353,1676627596.7914202
