REGION_INDEX,TIME,STARTEND
-1,358.42974400520325,1676662671.323275
24,907.767388343811,1676663958.0170276
16,922.0885584354401,1676663972.0364025
1,966.7115559577942,1676663988.071651
9,1029.8139486312866,1676664043.5465064
5,1076.5759017467499,1676664090.4231217
21,1047.99436044693,1676664097.7403655
23,1128.3577036857605,1676664178.2643902
6,1290.13769364357,1676664303.8047802
8,1296.715220451355,1676664310.2764344
11,1292.227998971939,1676664310.7499278
22,1308.4394986629486,1676664358.263736
4,1378.3112256526947,1676664392.1582859
19,1473.3819999694824,1676664523.4306688
20,1507.7515420913696,1676664557.4977236
12,1554.1341619491577,1676664572.4905038
25,1541.6872203350067,1676664591.5346146
10,1575.789175271988,1676664594.1601677
13,1578.301308631897,1676664628.0739977
18,1642.9357914924622,1676664693.1384454
3,1718.4076261520386,1676664732.2252486
14,1758.7935965061188,1676664808.4541807
17,1799.2952010631561,1676664849.4984696
2,1910.4084198474884,1676664924.2253537
0,2217.9134781360626,1676665239.2741942
7,2371.466605901718,1676665385.8012054
15,3288.4229419231415,1676666338.6614358
