REGION_INDEX,TIME,STARTEND
-1,341.79625511169434,1676913872.3357928
7,896.9862327575684,1676915789.106127
16,1010.9674115180969,1676915903.1387064
21,1070.4019668102264,1676916023.3229108
22,1169.7358858585358,1676916122.656775
8,1292.043551683426,1676916184.1635287
20,1292.53905916214,1676916245.8297832
3,1372.076383113861,1676916264.21968
18,1371.5247375965118,1676916323.572175
14,1497.2148234844208,1676916389.4427857
9,1500.7768511772156,1676916393.1170073
2,1521.6291110515594,1676916414.0811489
17,1554.6366720199585,1676916446.8079436
12,1583.0523610115051,1676916475.3361938
19,1570.5976486206055,1676916523.517894
0,1691.8140835762024,1676916583.865506
10,1709.763262271881,1676916602.103264
5,1810.2128365039825,1676916702.3533406
1,2075.108289003372,1676916967.1589262
13,2172.6400141716003,1676917064.924129
11,2209.146510362625,1676917101.4303646
6,2282.175589799881,1676917174.1544495
4,2646.7693979740143,1676917538.909719
15,2836.3586847782135,1676917728.5294642
