REGION_INDEX,TIME,STARTEND
-1,330.3440628051758,1676906547.2965887
8,967.8996202945709,1676907875.5355568
14,981.8792173862457,1676907889.739944
18,1102.3257417678833,1676908010.054861
7,1189.264357328415,1676908096.866023
22,1275.1112666130066,1676908182.9239726
10,1306.836672782898,1676908214.4256575
21,1345.3833847045898,1676908253.1959019
15,1419.8209419250488,1676908327.5516155
12,1498.1901783943176,1676908406.0507698
19,1536.8410649299622,1676908444.6532044
3,1584.6145887374878,1676908492.2403405
9,1590.160359621048,1676908497.7843802
4,1619.5023057460785,1676908527.2180252
17,1649.9505751132965,1676908557.7069643
2,1714.3539385795593,1676908621.9804437
1,1756.3837368488312,1676908663.9270406
16,1763.4330892562866,1676908671.1665518
5,2075.7434363365173,1676908983.4589508
11,2168.029444694519,1676909075.8899276
6,2244.4177803993225,1676909151.89032
0,2286.739283323288,1676909194.2914639
20,2466.6285185813904,1676909374.4411151
13,2779.48831987381,1676909687.349105
