REGION_INDEX,TIME,STARTEND
-1,429.7907853126526,1676873091.343142
6,890.4648206233978,1676874400.8512359
14,961.8056066036224,1676874532.477877
21,1095.8681375980377,1676874666.5491707
22,1219.4281990528107,1676874790.1691535
7,1326.093011856079,1676874836.4799786
20,1290.324889421463,1676874861.0062675
0,1381.383355140686,1676874891.3520238
19,1348.1203775405884,1676874918.8928432
9,1513.9791383743286,1676875035.0794957
1,1516.2834167480469,1676875037.3842971
4,1637.6285095214844,1676875148.0802045
17,1595.3706855773926,1676875166.143229
3,1736.2192778587341,1676875246.6710176
5,1771.1197111606598,1676875281.528037
18,1762.283906698227,1676875333.0565138
12,1859.3381614685059,1676875430.0402987
10,2042.5711319446564,1676875613.168104
8,2260.890834093094,1676875781.9912653
11,2293.7537755966187,1676875864.4565818
16,2319.483193874359,1676875891.1091197
2,2537.667702436447,1676876048.1196034
13,2783.517331600189,1676876354.044361
15,2923.6905767917633,1676876495.3165858
