REGION_INDEX,TIME,STARTEND
-1,366.68213152885437,1676804675.0160766
16,1010.7073245048523,1676806056.1326947
8,1476.0054757595062,1676806521.5644362
18,1498.5433654785156,1676806544.5679367
12,1554.10253739357,1676806599.444562
19,1603.0627896785736,1676806648.2676685
3,1645.99831199646,1676806692.3098698
6,1739.0032596588135,1676806785.3869836
17,1750.2200376987457,1676806795.6448543
5,1833.9427797794342,1676806878.8950186
15,1847.7626674175262,1676806893.1208408
21,1900.7892298698425,1676806948.6012936
22,1901.306723833084,1676806960.6950781
14,1944.5729053020477,1676806989.9307027
4,2036.8007307052612,1676807081.7530425
20,2119.4939410686493,1676807164.6987114
10,2138.683350086212,1676807183.8518147
9,2338.5874803066254,1676807384.2704237
13,2463.661941051483,1676807509.0038924
7,2523.2565920352936,1676807569.640306
1,2579.371993303299,1676807625.7438555
2,2630.398491382599,1676807675.9195209
11,2814.622834920883,1676807859.7706761
0,2980.1065924167633,1676808025.509447
