REGION_INDEX,TIME,STARTEND
-1,397.4152557849884,1676865891.6070802
12,1062.0838153362274,1676867366.6674042
3,1140.998673915863,1676867445.5506742
15,1157.5173645019531,1676867462.1009135
22,1178.5185182094574,1676867483.7912018
19,1296.7137858867645,1676867601.7057493
4,1390.0309536457062,1676867694.5829284
11,1422.9048790931702,1676867727.6686842
16,1581.916270494461,1676867886.9082422
6,1666.1472132205963,1676867970.7297077
20,1691.9910686016083,1676867997.2639306
14,1707.3595514297485,1676868011.9734573
2,1706.8565244674683,1676868012.1609876
8,1758.3703367710114,1676868063.161591
17,1759.2759075164795,1676868064.2679498
21,1769.199425458908,1676868074.4726372
0,1798.9620916843414,1676868105.218663
1,1801.2746770381927,1676868106.57776
13,1834.2471072673798,1676868138.8593051
18,2114.6935238838196,1676868419.6855438
7,2244.0796127319336,1676868548.650864
5,2287.113849401474,1676868591.6939642
10,2574.0618114471436,1676868878.8262074
9,2807.5247457027435,1676869112.2886431
