REGION_INDEX,TIME,STARTEND
-1,483.56775999069214,1676834696.5265138
12,1044.4172241687775,1676836246.420064
4,1085.6972773075104,1676836254.7695403
17,1249.271761417389,1676836450.497063
19,1301.838607788086,1676836503.3150358
16,1302.8774325847626,1676836504.1028767
15,1319.9571325778961,1676836521.1825297
14,1399.5776991844177,1676836600.7758331
22,1516.4682490825653,1676836718.2594364
6,1559.758115530014,1676836759.3126194
8,1582.7746744155884,1676836782.5135927
11,1597.3431944847107,1676836798.4914432
21,1756.6582896709442,1676836959.0991712
2,1790.3209736347198,1676836959.4886146
13,1815.2173595428467,1676837016.4152021
3,2082.173105955124,1676837251.4963415
18,2063.9761435985565,1676837265.4520154
1,2134.6474068164825,1676837303.2490969
10,2183.753203868866,1676837384.9014165
20,2570.1181542873383,1676837771.5945334
7,2580.6484475135803,1676837780.17051
0,2721.9946398735046,1676837890.386126
9,2977.792751312256,1676838177.531551
5,3667.4539675712585,1676838867.6607733
