REGION_INDEX,TIME,STARTEND
-1,373.3249204158783,1676851532.3759344
8,915.2798581123352,1676852807.2019835
1,1189.001208305359,1676853081.0496342
18,1132.8636162281036,1676853084.843484
22,1239.2737352848053,1676853191.0771353
6,1321.0128679275513,1676853212.9447126
4,1346.8117773532867,1676853238.617029
20,1327.8924276828766,1676853279.8722405
15,1393.5064105987549,1676853345.5400126
9,1496.85280585289,1676853388.7751503
16,1553.06760263443,1676853505.1020045
17,1559.2856335639954,1676853511.3197167
12,1736.424837589264,1676853689.4189513
21,1741.752272605896,1676853693.5555823
14,1759.0162198543549,1676853710.7672846
3,1994.2744619846344,1676853887.4663858
0,2022.8080151081085,1676853914.8016114
10,2095.789469718933,1676854047.2526877
19,2122.6228699684143,1676854074.6096592
7,2194.6788585186005,1676854086.618879
11,2256.157875061035,1676854208.128968
5,2536.9119708538055,1676854428.8438606
13,2923.7324228286743,1676854876.727456
2,3236.8044941425323,1676855129.9871087
