REGION_INDEX,TIME,STARTEND
-1,544.8743898868561,1676754669.4978294
11,1125.4481372833252,1676756747.662624
21,1229.445240020752,1676756945.524353
1,1474.8746585845947,1676757001.6688004
18,1440.7537615299225,1676757156.8556013
10,1672.9930098056793,1676757295.3339899
8,1719.7067816257477,1676757315.001924
2,1830.742460012436,1676757365.3614285
14,1713.3535904884338,1676757367.0637152
13,1731.6162271499634,1676757385.0785382
22,1664.3204069137573,1676757414.6456068
0,1965.3526241779327,1676757492.374275
5,1917.0053870677948,1676757507.897296
19,1899.80477309227,1676757615.727439
15,2022.9969584941864,1676757739.183999
16,2085.268436193466,1676757804.7458687
4,2367.218771457672,1676757926.1513565
17,2261.734626531601,1676757977.6407688
9,2436.7930204868317,1676758059.0536637
12,2881.14599776268,1676758536.8472826
20,2941.981654405594,1676758658.0187905
3,3432.995038986206,1676758992.0214858
6,3671.2963519096375,1676759264.6165302
7,3890.650281906128,1676759482.2668297
