REGION_INDEX,TIME,STARTEND
-1,381.2078175544739,1676858736.6110637
21,1018.4247925281525,1676860174.3659043
8,1137.472858428955,1676860293.5857785
22,1234.0080060958862,1676860389.9492316
6,1283.9568717479706,1676860453.9065125
14,1376.8867499828339,1676860532.9115777
20,1407.8079175949097,1676860563.9611986
18,1451.237958431244,1676860607.5304215
16,1486.4890830516815,1676860642.5138397
13,1496.6514031887054,1676860652.7104516
15,1504.482890367508,1676860660.5078824
2,1597.032674074173,1676860693.1203353
19,1545.9133985042572,1676860702.0670087
1,1611.3236269950867,1676860707.4278812
9,1624.8474762439728,1676860780.9602075
11,1718.429866552353,1676860874.48902
12,1725.975084066391,1676860882.034013
5,2190.3296988010406,1676861360.2794526
10,2211.9426805973053,1676861368.0554554
3,2231.1437339782715,1676861386.8496852
7,2228.9448943138123,1676861398.8943663
4,2587.0520355701447,1676861742.814104
0,2659.802374601364,1676861755.8560297
17,2935.1869373321533,1676862091.4790869
