REGION_INDEX,TIME,STARTEND
-1,336.9553174972534,1676880360.9555976
7,969.2417364120483,1676881685.738678
14,997.9991230964661,1676881722.8871326
20,1104.7279515266418,1676881829.615954
22,1171.219054222107,1676881896.104009
18,1291.2616257667542,1676882007.9669673
8,1337.415806055069,1676882054.1165934
3,1357.0967271327972,1676882073.620133
0,1422.4451866149902,1676882141.1448436
15,1418.9123826026917,1676882143.8002915
2,1506.7559607028961,1676882223.257188
12,1575.1845300197601,1676882300.07146
11,1646.9287893772125,1676882363.673794
19,1691.1780426502228,1676882407.88366
5,1728.541447877884,1676882446.4281483
6,1754.5158033370972,1676882470.9180331
13,1764.4427199363708,1676882489.3297646
16,2095.881239414215,1676882812.6469514
10,2091.945699453354,1676882816.8328528
1,2233.219432115555,1676882951.429895
9,2270.8616189956665,1676882995.7484581
17,2376.0461719036102,1676883092.8120904
4,2398.8432743549347,1676883115.3757992
21,2754.8820514678955,1676883479.7701557
