REGION_INDEX,TIME,STARTEND
-1,326.92694425582886,1676671280.7120852
16,1358.5326795578003,1676672979.837214
11,1521.370905637741,1676673142.8928673
14,1528.8164322376251,1676673149.9589484
9,1589.7897317409515,1676673211.4881828
1,1600.6102423667908,1676673221.7134767
13,1619.7742416858673,1676673245.210667
3,1678.5567963123322,1676673299.7508147
4,1742.4418518543243,1676673363.6356046
17,1761.8884725570679,1676673382.8354068
2,2018.435908317566,1676673639.7776403
0,2036.644361257553,1676673657.6200466
7,2055.6760790348053,1676673677.3945103
8,2129.910784006119,1676673751.6091824
5,2347.090630531311,1676673968.3778462
15,2571.4573953151703,1676674192.7620823
18,2640.094846725464,1676674261.29923
12,2686.7269394397736,1676674310.3124225
6,2795.5081372261047,1676674416.7626739
10,4088.6258668899536,1676675710.7140753
