REGION_INDEX,TIME,STARTEND
-1,505.5578029155731,1676473764.4382098
1,1653.5993502140045,1676475914.6167767
3,1825.1335635185242,1676476086.1515865
2,1892.5218393802643,1676476153.5391808
0,2253.276626586914,1676476514.27474
4,2397.6542584896088,1676477124.9299011
6,1730.5770781040192,1676477674.2427573
5,2763.6690199375153,1676477709.1432643
12,1572.1176919937134,1676477889.7017446
11,1744.9429605007172,1676477906.6554945
15,1492.4434354305267,1676477965.5093355
16,1480.415786743164,1676478015.6876974
9,2000.2567982673645,1676478161.9689112
14,1749.5108244419098,1676478222.4329042
10,2249.419730424881,1676478411.1579533
7,2363.486236333847,1676478462.687566
8,2689.2840082645416,1676478851.1970913
13,2872.9818580150604,1676479190.565885
18,2831.83514213562,1676479990.0131469
17,4174.990783214569,1676480959.5856118
