REGION_INDEX,TIME,STARTEND
-1,541.6686489582062,1676491578.8178377
16,1257.200107574463,1676493402.6749263
14,1386.1039106845856,1676493531.0169759
12,1477.0814893245697,1676493594.8226006
0,1485.0344805717468,1676493598.793801
15,1516.5541322231293,1676493662.0289981
10,1544.9214763641357,1676493662.290633
1,1689.764741897583,1676493803.7718174
5,1695.4019010066986,1676493809.1591995
6,1777.871967792511,1676493891.8053317
3,1979.2016067504883,1676494095.6751716
11,2075.9455981254578,1676494193.5626314
18,2118.2706537246704,1676494263.5624235
8,2208.6399245262146,1676494322.430831
2,2227.64981341362,1676494341.655656
9,2506.1818220615387,1676494619.972831
7,2622.3341851234436,1676494736.2675338
13,2620.493596315384,1676494765.425865
4,2657.6151123046875,1676494771.8559341
17,4006.5992636680603,1676496151.8235235
