REGION_INDEX,TIME,STARTEND
-1,553.2982230186462,1676533759.3792853
3,1543.0103964805603,1676539253.4055493
17,1425.5881533622742,1676539338.703065
11,1560.5825040340424,1676539349.6117218
9,1683.822125673294,1676539472.851273
14,1689.0232553482056,1676539478.4594977
10,1700.00252699852,1676539489.0317707
2,1785.0144503116608,1676539495.4097517
1,1880.4051158428192,1676539544.9548213
7,1913.1031641960144,1676539671.249973
0,2236.2107214927673,1676539743.4718814
18,1880.7026307582855,1676539807.3399112
16,2164.4737141132355,1676540077.5668137
8,2294.772889137268,1676540083.7636683
6,2381.004413843155,1676540127.7368639
4,2832.766175031662,1676540543.161321
5,2828.569409608841,1676540555.3689873
13,2814.1658527851105,1676540603.602435
12,2878.6249051094055,1676540668.0609422
15,4110.713541507721,1676541993.8368368
