REGION_INDEX,TIME,STARTEND
-1,330.13595843315125,1676665522.8880413
17,1275.5671002864838,1676667144.4485013
2,1370.4580311775208,1676667235.5673704
14,1380.09490609169,1676667245.410716
15,1466.7318768501282,1676667332.3325255
13,1500.2189545631409,1676667364.8463542
11,1595.0860948562622,1676667459.6529374
4,1648.2914035320282,1676667513.3976648
3,1657.3817257881165,1676667522.034275
10,1737.5633351802826,1676667603.2276275
18,1738.6645920276642,1676667607.5472372
8,2095.2036650180817,1676667959.7676256
0,2184.43212723732,1676668021.344176
5,2381.5407819747925,1676668246.6468775
1,2499.7439455986023,1676668364.3083072
6,2605.645905971527,1676668471.0072057
16,2647.4254322052,1676668513.0911002
7,2816.4796483516693,1676668681.13751
12,2857.72878074646,1676668723.09062
9,4273.944357872009,1676670139.608591
