REGION_INDEX,TIME,STARTEND
-1,360.812682390213,1676636474.3901744
16,1283.7842123508453,1676638120.3775883
2,1346.4517812728882,1676638182.9761462
0,1415.52015376091,1676638252.1061838
11,1511.936143398285,1676638348.5025406
12,1537.9501192569733,1676638374.7281702
1,1569.8740911483765,1676638406.4563465
10,1694.5277602672577,1676638531.0940182
18,1749.4599905014038,1676638620.3866384
15,1789.124983549118,1676638625.7181666
17,1768.3238370418549,1676638639.271122
7,2078.1522381305695,1676638914.6747348
9,2100.343852519989,1676638936.8426418
3,2103.267917871475,1676638940.1407235
6,2226.2205958366394,1676639062.7701573
5,2595.106655359268,1676639432.2711885
14,2686.7300572395325,1676639523.3584523
4,2706.5184750556946,1676639543.0805438
13,2871.343384742737,1676639708.1214738
8,3970.9931089878082,1676640807.5374935
