REGION_INDEX,TIME,STARTEND
-1,333.5863449573517,1676655687.0500712
15,1345.355892419815,1676657379.2664418
16,1347.698023557663,1676657381.593546
12,1542.245371580124,1676657576.3622441
5,1626.8873527050018,1676657661.0303903
1,1629.3668284416199,1676657663.669424
13,1676.2883701324463,1676657710.596802
3,1758.451672554016,1676657793.5913992
10,1808.190215587616,1676657842.4306056
14,1841.4249792099,1676657875.492915
4,1852.1167905330658,1676657890.605873
17,1976.2168469429016,1676658010.141603
8,2115.7863397598267,1676658149.766111
9,2143.9313402175903,1676658177.910946
6,2337.391892671585,1676658371.5347435
7,2584.532633781433,1676658618.4790251
2,2610.009534597397,1676658644.1257088
11,2656.951984643936,1676658691.1925445
0,2826.498202085495,1676658860.734956
18,4252.7699410915375,1676660287.2082705
