REGION_INDEX,TIME,STARTEND
-1,366.69039940834045,1676617274.1269956
17,1225.8757998943329,1676618872.7290297
3,1383.201813697815,1676619016.9957578
1,1514.7655251026154,1676619148.46537
14,1532.9295547008514,1676619179.963693
12,1574.5543496608734,1676619221.105636
2,1664.4299683570862,1676619298.0761254
18,1703.348503112793,1676619349.8711193
7,1733.1876857280731,1676619366.9215536
5,1792.5379157066345,1676619426.272109
13,1993.4093871116638,1676619640.146972
11,2061.7266957759857,1676619708.4799192
6,2110.9956068992615,1676619744.6692386
8,2458.7423861026764,1676620092.3106081
4,2486.387663602829,1676620119.8815076
9,2603.5841648578644,1676620250.0870948
15,2690.0678005218506,1676620337.1017735
16,2761.6557445526123,1676620408.6436296
0,3022.0729858875275,1676620655.5986402
10,4456.423830509186,1676622103.6931245
