REGION_INDEX,TIME,STARTEND
-1,599.8976039886475,1676757166.6359718
3,1524.6540746688843,1676759281.554646
9,1636.1785547733307,1676759403.1823297
2,1828.371850013733,1676759585.0976028
13,1858.4229645729065,1676759655.9837804
15,1896.0625212192535,1676759693.8588054
12,2089.1798615455627,1676759900.694937
1,2577.4193065166473,1676760334.2244365
8,2791.4268469810486,1676760558.6152985
5,2808.9989285469055,1676760575.960476
6,2904.2324619293213,1676760671.0216355
4,2912.370609521866,1676760678.3840263
14,3281.5835297107697,1676761079.3796449
0,3348.352119207382,1676761106.4168084
10,3679.51459980011,1676761446.315812
7,3776.990847826004,1676761544.1793103
11,4218.044402599335,1676761984.9272232
