REGION_INDEX,TIME,STARTEND
-1,365.90337109565735,1676747187.8092709
4,1789.9584290981293,1676749342.7237556
13,1787.0133810043335,1676749348.969952
8,2173.283929347992,1676749735.141219
3,2365.092678308487,1676749915.015229
2,2479.236674785614,1676750031.1807568
11,2477.0521857738495,1676750038.8446665
7,2628.529058933258,1676750178.1259825
1,2696.0535588264465,1676750245.6019917
0,2822.445808649063,1676750371.9149642
14,2923.1029477119446,1676750485.5902631
5,3140.948750734329,1676750690.5005872
12,3676.385452747345,1676751239.5162675
10,3690.5874371528625,1676751252.0415165
6,3783.80543756485,1676751337.7642996
15,4122.268144369125,1676751683.8689096
9,6235.9115443229675,1676753797.1811798
