REGION_INDEX,TIME,STARTEND
-1,368.8890881538391,1676827185.2721736
13,1325.775309085846,1676828886.5903864
3,1550.7295553684235,1676829114.9408634
2,1601.78861618042,1676829165.9999816
10,1682.5855641365051,1676829243.2714288
1,1897.64111161232,1676829461.4062288
12,2044.4123809337616,1676829605.2274673
9,2401.785566329956,1676829963.9191704
6,2596.2354810237885,1676830157.0790699
4,2628.077820777893,1676830188.9385033
15,2649.8857233524323,1676830210.649663
11,3175.0367817878723,1676830735.7234273
7,3542.146383523941,1676831102.9899888
14,3966.1491842269897,1676831529.38452
0,4611.380390167236,1676832171.757269
5,5070.786748409271,1676832631.6473446
8,5659.861115932465,1676833221.9942887
