REGION_INDEX,TIME,STARTEND
-1,419.9079999923706,1676902344.3201244
11,1358.5709664821625,1676904247.364896
10,1550.4035267829895,1676904436.024676
4,1550.2962083816528,1676904439.089611
6,1568.9449636936188,1676904457.50823
7,1677.5446946620941,1676904566.107961
2,1731.512603521347,1676904620.3086126
0,2095.3325476646423,1676904981.0641909
13,2172.2114264965057,1676905061.005293
5,2532.2853288650513,1676905421.0789013
15,2546.223865509033,1676905431.7887418
1,2829.912116289139,1676905718.7077572
8,2887.9232075214386,1676905773.5441751
9,3176.7113134860992,1676906062.3322823
3,3422.810130596161,1676906308.3015537
12,3676.038589954376,1676906564.8322802
14,3971.2492423057556,1676906856.8138237
