REGION_INDEX,TIME,STARTEND
-1,410.0140948295593,1676787180.6095862
14,1311.2404234409332,1676788929.7943115
13,1640.4075100421906,1676789259.4204636
7,1889.2213079929352,1676789475.9558437
5,1890.5263874530792,1676789477.4778373
1,2277.201000213623,1676789863.5811815
0,2434.9465324878693,1676790023.2463884
10,2634.252190589905,1676790253.2748868
3,3149.5981771945953,1676790736.945209
12,3388.068977355957,1676791006.697078
15,3672.876252412796,1676791302.5359073
6,3755.8043324947357,1676791342.1564722
4,3766.690136194229,1676791353.902144
2,3876.190725326538,1676791464.2279682
11,4110.993267297745,1676791735.4653928
8,4723.96006155014,1676792310.1599007
9,5628.898946285248,1676793215.4523816
