REGION_INDEX,TIME,STARTEND
-1,368.10097551345825,1676845645.2477689
5,1523.8231189250946,1676847533.4755824
2,1680.446846485138,1676847690.3734577
8,1986.879355430603,1676848053.3532298
13,2005.0206196308136,1676848071.5072892
0,2066.9578065872192,1676848076.5427523
1,2140.126341342926,1676848149.8214607
11,2214.2826025485992,1676848281.5697687
4,2511.4723715782166,1676848525.9104452
15,2684.5938267707825,1676848750.9590986
3,2779.2957661151886,1676848793.7338083
7,3063.5755894184113,1676849073.7323494
6,3573.5384118556976,1676849583.3714254
10,3969.1319649219513,1676850036.4191155
12,3988.010011911392,1676850054.496824
14,4148.890391588211,1676850215.2040932
9,4459.520833015442,1676850526.5116055
