REGION_INDEX,TIME,STARTEND
-1,351.9860475063324,1676837185.6070914
13,1508.1701791286469,1676839052.0853481
8,1588.580528497696,1676839132.623568
11,1705.9900903701782,1676839250.1707988
9,2011.3900392055511,1676839555.4331303
5,2093.6805958747864,1676839637.792623
1,2140.966300010681,1676839685.2557478
2,2215.0827810764313,1676839759.4395783
3,2456.1958487033844,1676840000.22079
14,2552.8195066452026,1676840106.241921
6,2822.204395532608,1676840366.197422
0,2838.5566926002502,1676840382.5982893
12,3122.195172071457,1676840666.375926
15,3560.074190378189,1676841113.4966848
4,3717.17976975441,1676841261.2751892
7,4175.5123381614685,1676841719.5053942
10,6198.120964765549,1676843751.5478854
