REGION_INDEX,TIME,STARTEND
-1,528.7518212795258,1676910390.2183802
15,1399.623539686203,1676912391.0105743
7,1567.6325800418854,1676912558.5641193
12,1585.3595561981201,1676912576.209378
3,1595.7877707481384,1676912586.9011617
9,1787.4220564365387,1676912778.3529193
13,1813.0623104572296,1676912804.4495916
1,1816.9073376655579,1676912807.6088388
14,2179.8707435131073,1676913171.257872
4,2633.6937086582184,1676913624.8073354
11,2681.442479133606,1676913672.2924943
2,2896.7437222003937,1676913887.8570547
0,3191.5323865413666,1676914182.2338567
10,3240.3650856018066,1676914231.2149172
8,3653.834271669388,1676914644.7655532
5,3759.219530582428,1676914750.1779747
6,4083.809328556061,1676915074.7677858
