REGION_INDEX,TIME,STARTEND
-1,348.7481920719147,1676676086.0557039
3,1395.6676845550537,1676677824.6558046
2,1632.212197303772,1676678061.290032
12,1610.8438394069672,1676678072.4800181
10,1867.834359884262,1676678329.3035765
8,1878.7855587005615,1676678340.535228
14,2136.8803436756134,1676678598.661202
6,2712.365594148636,1676679143.7980707
15,2730.151010274887,1676679191.6711414
1,2871.936902999878,1676679301.274351
5,2913.1761507987976,1676679344.5845597
4,2965.917846918106,1676679397.290351
11,2966.636456489563,1676679428.3455343
0,3273.863298892975,1676679703.5421607
7,3849.649426460266,1676680310.8738222
9,3859.1749546527863,1676680320.5830352
13,4092.745747566223,1676680554.526571
