REGION_INDEX,TIME,STARTEND
-1,359.538941860199,1676777171.919566
3,1470.8670659065247,1676779015.74453
9,1531.1558499336243,1676779075.714598
13,1741.4994449615479,1676779285.9881551
6,1882.4352796077728,1676779427.1836553
4,1889.3538944721222,1676779433.9768872
14,2086.68089222908,1676779631.1531968
7,2562.1970920562744,1676780114.7624812
15,2586.587647676468,1676780131.1151671
2,2983.7890639305115,1676780528.5385249
12,3282.007253408432,1676780826.6365674
1,3408.9787163734436,1676780954.3430529
11,4187.102801322937,1676781731.7237258
8,4300.851697206497,1676781846.1940632
5,4385.850636482239,1676781930.663609
10,4775.840112686157,1676782322.1500843
0,6413.680657625198,1676783959.9715004
