REGION_INDEX,TIME,STARTEND
20,73.61216759681702,1676559145.1106195
40,74.70317530632019,1676559146.169601
120,77.38746857643127,1676559149.0743287
80,80.93583655357361,1676559152.3687239
60,100.69232988357544,1676559172.1155176
0,110.54800486564636,1676559181.6057682
160,103.48609566688538,1676559205.5227122
180,106.00192260742188,1676559208.178198
580,108.66412281990051,1676559210.7815845
520,121.11262059211731,1676559223.453986
300,132.33495616912842,1676559234.5219743
140,163.61032366752625,1676559234.9760253
500,132.7491855621338,1676559235.0400367
440,140.1547224521637,1676559242.4900832
220,141.98586583137512,1676559244.159397
380,146.79090905189514,1676559249.0379403
600,147.2092261314392,1676559249.391126
660,148.42707705497742,1676559250.6453483
1120,121.47097110748291,1676559255.1956997
760,138.49578428268433,1676559259.6534505
880,142.3083300590515,1676559263.5756054
720,146.0964469909668,1676559267.076901
640,166.57805132865906,1676559268.8560812
560,168.38291907310486,1676559270.5826123
820,147.82502508163452,1676559271.3093383
100,203.0474648475647,1676559274.7344298
1160,141.31382298469543,1676559274.7494185
260,173.81097960472107,1676559276.125264
900,155.4195487499237,1676559276.6868298
1040,145.09930729866028,1676559278.69035
860,157.8677933216095,1676559280.596139
340,187.30166482925415,1676559289.749532
540,195.55502486228943,1676559297.8964593
940,184.70733499526978,1676559308.0121472
360,208.81545281410217,1676559311.0624375
1060,181.36430764198303,1676559314.955223
620,213.37599754333496,1676559315.654185
1140,184.82482838630676,1676559318.2604785
980,189.02197003364563,1676559322.2756543
240,223.3860125541687,1676559325.7005293
1080,193.285747051239,1676559326.8023646
420,224.5515284538269,1676559326.862349
1260,162.316303730011,1676559327.6547363
800,205.81072664260864,1676559329.2949595
1000,195.90718626976013,1676559329.4525023
121,180.3814880847931,1676559330.372509
480,228.36347603797913,1676559330.6542268
1640,165.7270896434784,1676559331.1198585
400,231.55906701087952,1676559333.86974
1020,201.6778531074524,1676559335.2130492
1520,175.4753921031952,1676559340.774958
1460,176.1539363861084,1676559341.567193
1500,178.2605495452881,1676559343.7072747
1180,180.67562437057495,1676559345.7421238
1660,182.1165120601654,1676559347.5091205
1920,167.41903448104858,1676559349.4150977
2000,168.068776845932,1676559350.0833485
1200,190.00498938560486,1676559355.0713854
2260,158.9140956401825,1676559355.4972148
1420,191.88263392448425,1676559357.2226007
920,236.74005436897278,1676559360.044889
1320,195.39263272285461,1676559360.6622617
1620,196.87639093399048,1676559362.1910675
2140,166.74823904037476,1676559363.1033556
2180,169.4110026359558,1676559366.063635
1680,202.20098519325256,1676559367.5909379
2020,188.50590085983276,1676559370.5207179
2280,174.85729050636292,1676559371.3875692
200,269.355411529541,1676559371.5289428
1560,206.86948490142822,1676559372.175279
1220,207.5184178352356,1676559372.584256
840,250.1082262992859,1676559372.835773
181,164.1621549129486,1676559373.559105
21,228.5929298400879,1676559375.5026457
1280,210.44710063934326,1676559375.7725492
1580,211.05176997184753,1676559376.3359838
