REGION_INDEX,TIME,STARTEND
40,57.46040463447571,1676472672.5062861
20,79.55639863014221,1676472692.1642368
120,71.72352266311646,1676472698.91339
80,93.31740832328796,1676472704.4329705
0,104.90880584716797,1676472715.6350963
60,103.02403998374939,1676472715.8011923
180,120.522616147995,1676472764.7930663
500,126.55821657180786,1676472771.1349688
580,148.7904441356659,1676472793.4225798
440,155.8280177116394,1676472800.4792671
260,157.57910823822021,1676472802.198715
560,158.5687494277954,1676472803.0183969
100,192.99125409126282,1676472808.4329922
300,161.57997870445251,1676472808.704607
220,164.2676796913147,1676472808.9010782
900,146.28206753730774,1676472818.1076102
520,174.05246090888977,1676472818.6290257
160,176.51144433021545,1676472820.7822142
760,149.07984805107117,1676472820.8960295
380,176.89880895614624,1676472821.5882657
600,177.1346366405487,1676472821.7672591
240,181.8963611125946,1676472826.5160635
720,160.82298398017883,1676472832.639449
1120,163.8718616962433,1676472839.2012734
820,168.08672213554382,1676472839.6614816
360,198.17806267738342,1676472844.5415788
1160,169.22701239585876,1676472844.7312036
860,174.22940373420715,1676472846.0552359
880,174.3102855682373,1676472846.1359422
420,204.84298300743103,1676472849.5323904
640,179.14399671554565,1676472850.4720335
1040,181.72761917114258,1676472853.3660367
540,218.1075530052185,1676472862.5573351
1060,194.82837104797363,1676472867.1614552
800,195.47716426849365,1676472867.1615317
660,196.81255674362183,1676472868.169374
1080,195.85070323944092,1676472868.182618
1000,197.95709371566772,1676472869.5312154
340,230.3703122138977,1676472874.835906
980,209.19429349899292,1676472880.7686133
1140,209.02337837219238,1676472884.3490665
480,240.07101130485535,1676472884.6476
620,240.83309078216553,1676472885.46914
400,241.9660403728485,1676472886.6553714
1260,192.4036602973938,1676472899.388694
140,255.12697958946228,1676472899.3978465
121,200.62853908538818,1676472900.4750392
1180,197.38379168510437,1676472903.8302777
1640,197.16865634918213,1676472904.6500664
1520,202.6714322566986,1676472909.8737066
940,238.65748953819275,1676472910.2925956
1200,204.39271640777588,1676472911.3776639
1500,205.75942873954773,1676472912.9614584
1920,186.2655200958252,1676472918.4226792
1680,212.15208053588867,1676472919.585881
2000,188.40119743347168,1676472920.2822454
2180,184.76989841461182,1676472921.9132812
1380,216.58715319633484,1676472923.797154
1020,253.41532278060913,1676472925.053158
840,253.88264060020447,1676472925.5034335
920,253.83132219314575,1676472925.6569016
1460,220.30147790908813,1676472927.5111272
1420,221.19943976402283,1676472928.4096272
1660,221.6817111968994,1676472929.1156855
1,213.71105313301086,1676472930.1995447
740,259.3920159339905,1676472931.2079902
1220,225.39142632484436,1676472932.3764927
41,261.56084990501404,1676472935.5649252
1280,232.82497215270996,1676472939.8803434
2020,208.09876251220703,1676472939.9370754
1300,233.57196068763733,1676472940.6273363
1940,209.9427134990692,1676472942.0700533
1580,236.42827010154724,1676472943.8620827
1320,237.54749488830566,1676472944.5327992
1360,237.41596865653992,1676472944.6300938
1540,238.38955187797546,1676472945.591972
1620,239.34548902511597,1676472946.779678
1960,214.94161367416382,1676472946.7796638
2140,210.60034489631653,1676472947.6950402
1560,240.66641521453857,1676472948.1005242
21,256.1856179237366,1676472949.7397585
1700,243.95777821540833,1676472951.3920171
2080,219.58509159088135,1676472951.4728148
2100,216.0785493850708,1676472953.2094166
2060,224.7816972732544,1676472956.7477303
1780,225.8472113609314,1676472957.6398673
200,314.40093302726746,1676472958.921767
1100,286.6739218235016,1676472959.0064385
2040,227.42440509796143,1676472959.2625072
1880,229.32991409301758,1676472961.5236619
2260,191.8215823173523,1676472961.7074797
280,319.81343698501587,1676472964.4383788
1820,232.79324221611023,1676472964.9643204
2220,196.08623552322388,1676472965.0413337
181,199.63935375213623,1676472965.295532
1340,258.14713764190674,1676472965.357231
2620,196.82112956047058,1676472966.333702
2520,199.2160108089447,1676472968.6619477
2320,199.94466161727905,1676472969.0328617
2720,200.15082216262817,1676472969.2018828
1860,237.3613817691803,1676472969.2835908
960,298.37253427505493,1676472969.9464474
2660,201.81353664398193,1676472971.2128596
1440,265.0883193016052,1676472972.2983456
1240,267.5576846599579,1676472974.5429182
61,257.96394538879395,1676472975.830462
1720,271.5912446975708,1676472979.1099446
2540,210.175626039505,1676472979.5744238
1760,248.31762218475342,1676472980.2974348
441,182.53318071365356,1676472984.579207
460,340.82229924201965,1676472985.4734068
2800,195.3634271621704,1676472987.2513223
2280,222.0979835987091,1676472991.1694455
780,320.22642612457275,1676472992.0425203
320,347.90288257598877,1676472992.3678381
2820,201.4274833202362,1676472992.3678796
2500,226.9068694114685,1676472996.363218
2420,227.80804920196533,1676472996.9918592
2460,228.37799286842346,1676472997.7771099
3180,198.2535376548767,1676472997.8614385
2560,230.02973294258118,1676472999.478869
2880,211.45846724510193,1676473002.547071
1480,297.9925627708435,1676473005.2026246
2700,237.39066410064697,1676473006.44946
2380,238.33063411712646,1676473007.5147572
2340,240.10393905639648,1676473009.3373878
2640,240.59215474128723,1676473009.9911106
2760,219.42422938346863,1676473010.2340598
3100,218.40331935882568,1676473010.5230577
2780,220.69324493408203,1676473011.7497385
2680,242.8370144367218,1676473011.8441417
1900,279.9090280532837,1676473012.0770369
3200,214.24096369743347,1676473013.8489263
261,211.5409655570984,1676473014.639758
700,344.3049385547638,1676473016.1215112
3000,224.54173183441162,1676473016.6614697
721,184.27376580238342,1676473018.1368308
2200,249.4447362422943,1676473018.401478
2940,226.33214020729065,1676473018.4517384
221,210.40024542808533,1676473020.3083186
2580,250.94959235191345,1676473020.4506266
301,211.20968294143677,1676473021.379106
1800,292.10236406326294,1676473023.9342985
3140,232.09210777282715,1676473024.211905
