REGION_INDEX,TIME,STARTEND
40,53.98440384864807,1676737429.124141
20,78.62706160545349,1676737453.6657925
160,81.78271579742432,1676737458.6909766
80,92.18171548843384,1676737467.3477724
60,99.97406697273254,1676737475.1130164
120,108.42589616775513,1676737484.0609596
0,107.05278086662292,1676737490.4800372
580,96.43020272254944,1676737501.7712643
500,119.14346981048584,1676737524.1910524
660,119.79736757278442,1676737524.8174706
440,128.1484079360962,1676737533.0576067
180,132.04925203323364,1676737537.2259285
300,134.15829372406006,1676737539.4051106
380,145.75130438804626,1676737551.0278187
520,148.8423297405243,1676737553.8823478
220,161.83241057395935,1676737567.009099
560,163.40245413780212,1676737568.7436156
640,178.02881407737732,1676737583.0490353
260,184.99468684196472,1676737590.2846243
1120,153.57145285606384,1676737591.566316
600,189.45378232002258,1676737594.7949593
860,160.03645157814026,1676737597.7840886
140,221.4777798652649,1676737599.413355
820,165.52717804908752,1676737603.2746978
900,172.6496982574463,1676737610.7051606
360,205.58607029914856,1676737610.7757359
720,176.6786949634552,1676737613.5064924
760,176.7096815109253,1676737614.2403886
1160,176.93822503089905,1676737615.038982
420,210.56946730613708,1676737615.6135223
1040,179.8735089302063,1676737617.9536896
480,217.8820264339447,1676737622.91694
880,187.1254346370697,1676737624.873217
800,188.9286561012268,1676737626.5533369
1180,188.89355897903442,1676737627.0004961
100,253.47150182724,1676737629.107241
1140,191.53398060798645,1676737629.7345812
340,224.6785933971405,1676737629.9251776
1060,197.34631299972534,1676737635.3341393
1200,198.35748505592346,1676737636.4456604
620,236.7313072681427,1676737642.0724492
1080,204.74285340309143,1676737642.7305093
1260,178.29964303970337,1676737643.2495155
1640,181.40388131141663,1676737646.3735094
1220,213.4691083431244,1676737651.2560122
1000,214.20215487480164,1676737652.2787356
400,248.16091966629028,1676737653.3416417
1520,191.6476948261261,1676737657.3662348
1660,196.89584493637085,1676737661.8651874
1420,201.51206994056702,1676737666.5643928
1680,202.02302074432373,1676737666.9925306
1500,202.86325597763062,1676737668.5816905
240,267.2029867172241,1676737672.4478834
280,269.30099844932556,1676737674.4777458
1560,210.35670733451843,1676737675.608345
200,273.1665790081024,1676737678.4536002
980,240.39595675468445,1676737678.521156
1460,213.8703544139862,1676737678.922752
2180,178.77349662780762,1676737679.0923042
1920,179.43309831619263,1676737679.6446428
2000,183.91540575027466,1676737684.2669272
1360,225.0153193473816,1676737689.9658816
1100,251.97228980064392,1676737690.1731007
1240,253.5532009601593,1676737691.340197
1580,226.67502999305725,1676737691.9268997
1320,228.2781045436859,1676737693.228721
940,255.56773948669434,1676737693.6234105
540,281.67807269096375,1676737693.936812
41,265.084566116333,1676737695.6133652
2260,196.4913854598999,1676737696.8106778
840,258.81701397895813,1676737697.277521
21,242.35804390907288,1676737697.6503582
2140,197.613126039505,1676737697.9318168
1540,232.73151969909668,1676737697.9831848
1020,260.47206807136536,1676737698.5280886
2220,198.43134665489197,1676737698.7511444
2020,200.13988280296326,1676737700.491346
1380,236.74488353729248,1676737701.6477826
1300,238.48053121566772,1676737703.4158356
680,304.838561296463,1676737709.8581955
1620,245.05018663406372,1676737710.322204
181,172.4876081943512,1676737710.7474477
320,307.33006381988525,1676737712.6067748
1280,247.7563977241516,1676737712.7841523
1700,244.9319577217102,1676737712.802401
2100,213.80169439315796,1676737714.152984
581,211.43598341941833,1676737714.174554
1,223.34795498847961,1676737714.815857
2280,214.58255290985107,1676737714.9014013
2320,189.9677300453186,1676737715.050496
121,228.452374458313,1676737715.1171253
1440,252.27527332305908,1676737717.32768
2720,197.5597608089447,1676737721.9867737
740,284.9477422237396,1676737722.4850442
2080,222.2308371067047,1676737722.582105
2060,222.7167890071869,1676737723.0684967
2520,198.7189347743988,1676737723.6148298
2800,193.87372589111328,1676737724.1863546
700,319.75818514823914,1676737724.778193
1780,226.14754390716553,1676737725.435092
441,191.04929161071777,1676737725.4350932
920,287.4893374443054,1676737725.5445933
1940,227.12324261665344,1676737727.3831983
1760,228.24913001060486,1676737727.3831766
2240,227.21419048309326,1676737727.5336158
301,189.06080532073975,1676737729.4130712
2040,229.2072353363037,1676737729.5586095
2660,205.819571018219,1676737731.2169135
1960,231.30404090881348,1676737731.5553443
1880,232.1992528438568,1676737732.3544228
2200,234.51315021514893,1676737734.832805
2500,213.0029058456421,1676737737.982881
1340,274.4362962245941,1676737739.446976
2820,210.3467812538147,1676737740.6813593
2620,216.85223078727722,1676737741.7688303
1820,244.2336802482605,1676737743.5586822
161,284.18316531181335,1676737743.8564267
2420,219.7884349822998,1676737744.835776
61,269.7141263484955,1676737746.920714
1860,248.40822076797485,1676737748.4010563
3360,184.49786472320557,1676737748.7375963
2340,224.7261393070221,1676737749.80972
2460,226.81498646736145,1676737751.747284
2380,227.14115643501282,1676737752.0610743
1480,288.70745372772217,1676737754.4257126
2760,224.62669968605042,1676737754.9713504
460,350.1435875892639,1676737755.1592577
2640,231.41037130355835,1676737756.306102
1720,289.8846786022186,1676737757.9888809
2560,235.7115306854248,1676737760.6073248
2700,236.27179408073425,1676737761.1678321
1600,297.881374835968,1676737763.1981013
2540,238.7563819885254,1676737763.6522744
2780,235.59023928642273,1676737765.9387877
661,240.32906079292297,1676737766.7172263
960,329.10600566864014,1676737767.1920655
780,335.2476222515106,1676737772.7782428
3180,209.59074234962463,1676737774.0105627
1900,274.9787151813507,1676737775.1613283
221,206.51112484931946,1676737775.2484128
2680,251.3684368133545,1676737776.264343
261,186.2311770915985,1676737777.4243276
2880,218.01869440078735,1676737781.8544922
3260,217.69335961341858,1676737781.854481
3160,218.97918128967285,1676737783.3562396
2300,262.9901456832886,1676737787.0772197
3300,222.9919261932373,1676737787.2316985
2940,223.5282483100891,1676737787.8608594
3560,201.6216263771057,1676737789.0524957
3440,204.3132221698761,1676737789.299356
-1,447.7539405822754,1676737343.3961425
3200,227.0118932723999,1676737791.314955
3100,227.68637108802795,1676737792.0189126
2120,292.61133193969727,1676737792.9300246
3000,229.4893810749054,1676737793.8219264
3280,230.03368616104126,1676737794.272261
381,246.04767203330994,1676737797.954746
2580,275.17454743385315,1676737800.0704129
3140,236.91020703315735,1676737801.2856708
2840,240.55356764793396,1676737801.803012
1800,303.8044104576111,1676737803.1467898
2160,304.26524019241333,1676737804.5844116
3320,246.95384812355042,1676737811.1939216
1400,347.28632259368896,1676737812.3386045
501,287.5388391017914,1676737812.6464593
1161,200.6763138771057,1676737816.8609676
1121,225.48810005187988,1676737818.111746
521,263.29421854019165,1676737818.6040916
3660,231.38142323493958,1676737818.8125079
3380,256.26814126968384,1676737820.507905
2980,256.35255670547485,1676737820.6850216
3240,256.71051692962646,1676737820.8718393
2920,256.93014001846313,1676737821.2920127
3220,258.56407594680786,1676737822.7251697
821,220.233336687088,1676737824.4876688
3580,237.84165048599243,1676737825.2727664
481,200.31825065612793,1676737825.5205793
2740,295.9717617034912,1676737826.3308103
3500,241.36062908172607,1676737828.7918851
1840,329.8707251548767,1676737830.089777
901,218.07838654518127,1676737830.1768856
3120,269.84042835235596,1676737834.1437557
1740,335.0932147502899,1676737834.167298
3760,246.9019558429718,1676737834.3334794
601,239.10683631896973,1676737834.852598
721,220.51349210739136,1676737835.098491
3880,243.60369515419006,1676737837.1259
3740,250.22179412841797,1676737837.652784
3900,244.7870647907257,1676737838.3110235
861,239.7042453289032,1676737838.545206
81,371.0894169807434,1676737839.2794685
341,207.10258102416992,1676737839.2951016
3520,252.6271526813507,1676737840.0580537
3860,248.42392110824585,1676737841.9563234
4460,219.391352891922,1676737843.7053072
3960,220.4873707294464,1676737845.6492777
2860,282.53289699554443,1676737846.4362402
3480,260.1710858345032,1676737847.6021302
1980,348.4580569267273,1676737848.6062286
761,233.58777260780334,1676737848.7973297
4320,223.87784552574158,1676737849.4329944
621,206.80775117874146,1676737849.7951446
4020,233.38050746917725,1676737858.5426538
3420,273.7244071960449,1676737858.768793
2960,294.4361343383789,1676737858.7688832
3020,294.4360270500183,1676737858.7687752
2440,333.8013045787811,1676737858.8839877
3720,271.33778405189514,1676737858.768784
141,258.2226436138153,1676737858.768766
3460,271.45310640335083,1676737858.8840647
3060,295.0304355621338,1676737859.363537
4340,237.65917444229126,1676737863.2143617
