REGION_INDEX,TIME,STARTEND
40,64.14736461639404,1676569384.1012566
20,72.95862245559692,1676569393.3851833
120,73.52305912971497,1676569393.4678612
80,89.98134708404541,1676569409.9155188
60,93.85656595230103,1676569413.728783
0,117.36893582344055,1676569437.142015
180,100.13715815544128,1676569450.9067547
300,108.0246102809906,1676569458.6004364
580,110.28717517852783,1676569461.9335902
760,107.01957583427429,1676569471.7251909
640,122.86438632011414,1676569474.3970969
500,124.19447612762451,1676569475.7351296
260,126.42497539520264,1676569477.2669475
520,127.59883213043213,1676569479.1394856
380,129.97873187065125,1676569480.761627
440,137.93420457839966,1676569488.7982755
800,125.25917911529541,1676569489.964589
720,126.55575037002563,1676569490.6183276
660,133.81692790985107,1676569497.439045
220,154.33359718322754,1676569505.175721
820,142.32827877998352,1676569507.0340226
160,165.36213994026184,1676569516.1312165
900,142.2195839881897,1676569524.214553
100,207.5679111480713,1676569527.7883193
860,160.81870865821838,1676569542.8502848
600,192.2497820854187,1676569543.8961406
360,194.6692898273468,1676569545.4521844
1000,163.70149111747742,1676569545.7826931
1040,164.81526279449463,1676569546.897032
1120,165.79579758644104,1676569547.8725157
560,199.64161562919617,1676569551.4612646
1080,169.6486291885376,1676569551.725109
540,205.8435034751892,1676569558.0918078
400,211.1919825077057,1676569562.0454543
121,168.47015118598938,1676569563.6908925
240,214.32472014427185,1676569565.1667764
340,217.67800450325012,1676569568.5467455
1160,156.17173194885254,1676569569.4186203
840,206.3445029258728,1676569571.0506701
480,220.9658660888672,1676569572.5067024
140,222.79142570495605,1676569573.36914
880,192.45839643478394,1676569574.4492693
1260,162.9091866016388,1676569576.195702
420,226.86796355247498,1676569577.7216945
1060,203.02296948432922,1676569585.0995657
1640,177.36033987998962,1676569590.7234952
1520,178.43471503257751,1676569591.6201448
1020,210.93245029449463,1676569593.01404
620,243.55646300315857,1676569595.0877602
200,249.60103821754456,1676569600.4432316
2140,155.18051624298096,1676569602.128742
1500,191.3614273071289,1676569604.453913
980,223.86445093154907,1676569605.9502559
1140,194.4653615951538,1676569607.3372154
1180,194.27637004852295,1676569607.5455656
740,244.17174696922302,1676569608.234235
1200,195.05421948432922,1676569608.3233297
2180,162.11179852485657,1676569608.638222
1660,195.5660800933838,1676569608.7192745
1,169.3899266719818,1676569608.827185
940,229.53012704849243,1676569611.5216138
1320,199.2032232284546,1676569612.6918676
1540,204.37677454948425,1676569617.6458058
1420,205.72371983528137,1676569618.840458
1780,196.0761649608612,1676569619.9703736
1460,206.88088750839233,1676569620.1351647
1280,208.51301550865173,1676569622.0017023
1300,208.989652633667,1676569622.4783885
1100,241.46686458587646,1676569623.5433109
1680,211.0281138420105,1676569624.181512
1920,177.7038173675537,1676569624.3091378
2000,178.27605438232422,1676569624.944506
920,243.38349390029907,1676569625.3783329
1220,212.58167338371277,1676569625.8510778
1560,213.35352778434753,1676569626.7165782
1380,213.36913466453552,1676569626.8692915
2020,185.0591983795166,1676569632.0071354
1620,221.66862106323242,1676569635.0317187
2220,189.20128083229065,1676569635.8052473
1880,213.28332924842834,1676569637.4948995
1360,224.47495317459106,1676569637.9633613
1240,226.70238590240479,1676569639.9716778
2040,194.47266054153442,1676569641.4209023
301,183.13336539268494,1676569642.7088602
21,248.15374779701233,1676569643.1455839
