REGION_INDEX,TIME,STARTEND
180,30.522296667099,1676513786.035409
40,66.43728804588318,1676513822.1307247
20,72.10080146789551,1676513827.7941508
120,75.71077728271484,1676513831.612208
160,76.17664861679077,1676513832.6715062
60,96.12105059623718,1676513851.814212
80,99.40271663665771,1676513855.3044846
0,107.07350015640259,1676513862.4596076
300,119.4648871421814,1676513906.2778327
660,121.54109001159668,1676513908.2188017
720,117.20399498939514,1676513913.5171924
440,127.63427209854126,1676513914.386492
380,128.97480058670044,1676513915.5626912
500,129.7166519165039,1676513916.4690099
140,163.56114292144775,1676513919.4626038
181,134.24996542930603,1676513921.2060127
640,135.64909672737122,1676513922.3265803
220,136.79920983314514,1676513923.571922
580,136.87559008598328,1676513924.1719909
360,138.6306495666504,1676513925.2186966
760,134.36860990524292,1676513927.4313693
560,146.72132110595703,1676513934.0172932
260,152.34204411506653,1676513939.1095207
100,187.43012499809265,1676513943.3318386
820,130.54830861091614,1676513948.7238915
860,132.1504487991333,1676513953.2972353
1120,133.87934041023254,1676513953.4225929
900,134.00599908828735,1676513955.152594
520,170.93881678581238,1676513957.9162338
240,171.95634245872498,1676513958.7289104
600,171.78043031692505,1676513959.0764108
800,169.97564792633057,1676513963.1275747
1040,148.10865259170532,1676513968.74027
1160,153.34141564369202,1676513972.8847682
1000,160.12554121017456,1676513978.5413542
540,195.30366802215576,1676513982.280058
420,197.42279148101807,1676513984.010975
1060,169.93892073631287,1676513990.5703127
1140,172.22691249847412,1676513991.7703948
400,205.50071787834167,1676513992.089095
1180,180.5454523563385,1676514000.0888238
480,213.7181396484375,1676514000.4701273
620,214.17721009254456,1676514001.4731884
1260,154.26175093650818,1676514003.7660043
980,188.0048496723175,1676514007.0675604
1500,157.7117989063263,1676514007.8280742
340,221.6070852279663,1676514008.42027
880,187.43983101844788,1676514008.5866406
1200,191.31728959083557,1676514010.5656464
1080,190.96037197113037,1676514011.5918288
1520,176.74452686309814,1676514026.8267624
200,241.43488883972168,1676514027.791076
1100,210.33813214302063,1676514028.7118316
21,202.57271122932434,1676514031.964849
1020,212.83314323425293,1676514033.464597
1680,184.53745245933533,1676514034.604014
940,219.23990416526794,1676514037.7649033
1640,188.21171522140503,1676514038.3715305
1220,219.23564219474792,1676514038.4840941
2000,158.7963843345642,1676514039.7635043
1660,190.87012600898743,1676514041.131679
1420,192.17823147773743,1676514041.9841087
280,255.92758107185364,1676514042.7404318
121,212.6726095676422,1676514046.076879
700,259.80078649520874,1676514046.3239114
1780,200.46856355667114,1676514050.7212424
2260,171.63043546676636,1676514052.8359742
1920,171.93487739562988,1676514052.836016
1620,204.39075589179993,1676514054.5616858
1560,206.97620153427124,1676514057.0280087
740,261.57121896743774,1676514057.8844144
1,194.5449550151825,1676514057.884547
1460,210.8232762813568,1676514060.9397242
840,240.23804807662964,1676514061.3842916
1320,212.7493486404419,1676514062.5226216
1380,212.84018301963806,1676514063.3739052
2280,187.1465606689453,1676514068.3520157
2320,186.96451091766357,1676514068.6024492
2220,189.7503378391266,1676514070.9558835
2180,189.71192240715027,1676514070.9796674
1240,252.6022379398346,1676514071.8506076
2020,191.23255157470703,1676514072.1993103
1820,220.63040471076965,1676514073.3154743
1360,224.46687150001526,1676514075.00277
2040,194.94812893867493,1676514075.9152777
1580,226.23130106925964,1676514076.3130023
1860,223.68996739387512,1676514076.3906431
161,244.46072816848755,1676514078.18841
1540,228.62765312194824,1676514078.7303054
41,255.72671508789062,1676514078.7953875
1300,231.7837109565735,1676514081.5613184
2800,169.46587371826172,1676514081.7123468
1940,201.55126643180847,1676514082.5186775
920,264.13287568092346,1676514082.6594548
721,169.0472116470337,1676514083.6925323
2140,204.0294201374054,1676514085.2152152
2100,205.28388905525208,1676514086.4696841
2060,208.07197856903076,1676514089.2672915
2200,208.73396062850952,1676514089.939861
1700,240.20316696166992,1676514090.2783055
1280,242.68614387512207,1676514092.4735134
2620,180.41098403930664,1676514092.9027965
441,177.63999223709106,1676514092.9494987
2720,184.64665532112122,1676514097.2369072
680,310.682541847229,1676514097.3604157
1880,218.32811665534973,1676514098.832136
2660,187.27951335906982,1676514099.671818
2080,218.52260208129883,1676514099.7081149
1440,250.16782331466675,1676514100.28421
460,313.60838174819946,1676514100.3606222
